"NAICS_Code","BEA_Code","Location","allocation_factor"
"111","1111A0","US",0.228467593184433
"111","111300","US",0.107858356009277
"111","1111B0","US",0.37438501013569
"111","111900","US",0.121704987490184
"111","111200","US",0.0681045345800537
"111","111400","US",0.0994795186003616
"1111","1111A0","US",0.37897753435281
"1111","1111B0","US",0.62102246564719
"112","112120","US",0.202452195254414
"112","112A00","US",0.132591785455258
"112","1121A0","US",0.403708197701797
"112","112300","US",0.26124782158853
"1121","1121A0","US",0.66600886892813
"1121","112120","US",0.33399113107187
"212","212100","US",0.377852109340271
"212","212230","US",0.134868061476575
"212","2122A0","US",0.154820984820329
"212","212310","US",0.167078405223614
"212","2123A0","US",0.165380439139211
"2122","212230","US",0.465561481183337
"2122","2122A0","US",0.534438518816663
"2123","212310","US",0.50255364853905
"2123","2123A0","US",0.49744635146095
"213","213111","US",0.119693814774502
"213","21311A","US",0.880306185225498
"2131","213111","US",0.119693814774502
"2131","21311A","US",0.880306185225498
"21311","213111","US",0.119693814774502
"21311","21311A","US",0.880306185225498
"221","221100","US",0.797123828507633
"221","221200","US",0.177576356421696
"221","221300","US",0.025299815070671
"236","230301","US",0.145787451390974
"236","2332A0","US",0.116639018444069
"236","2334A0","US",0.195887432467621
"236","233412","US",0.0589368094795754
"236","233262","US",0.0526214774124714
"236","2332D0","US",0.0655831654402429
"236","230302","US",0.0432352787366748
"236","233230","US",0.0562530359581443
"236","233411","US",0.233923371742528
"236","233210","US",0.0311329589276982
"2361","2334A0","US",0.368221300452293
"2361","233412","US",0.110787039054511
"2361","230302","US",0.0812719344027711
"2361","233411","US",0.439719726090424
"23611","233412","US",0.110787039054511
"23611","2334A0","US",0.368221300452293
"23611","233411","US",0.439719726090424
"23611","230302","US",0.0812719344027711
"236117","2334A0","US",0.400794657571419
"236117","233411","US",0.478617931198803
"236117","233412","US",0.120587411229778
"2362","2332D0","US",0.140129846492693
"2362","230301","US",0.311500261490009
"2362","233210","US",0.066520984861226
"2362","2332A0","US",0.249219561756568
"2362","233230","US",0.120194401118763
"2362","233262","US",0.112434944280741
