"","x"
"325414/US",3.1287e+10
"325310/US",1.7141e+10
"325320/US",1.5044e+10
"325510/US",27120983700
"325520/US",1.5208e+10
"325610/US",36903923900
"325620/US",3.7955e+10
"325910/US",4.287e+09
"3259A0/US",4.0928e+10
"326110/US",40140995800
"326120/US",17754991800
"326130/US",4.53e+09
"326140/US",8932999200
"326150/US",10597998800
"326160/US",11110997900
"326190/US",98244987200
"326210/US",18838991300
"326220/US",5.93e+09
"326290/US",17344998500
"423100/US",136102966600
"423400/US",206460980500
"423600/US",221881966200
"423800/US",168860914000
"423A00/US",287824919700
"424200/US",199852989800
"424400/US",181058998100
"424700/US",161944968000
"424A00/US",384875969400
"425000/US",47539996000
"4200ID/US",3.8513e+10
"441000/US",301795992900
"445000/US",2.36793e+11
"452000/US",227334999700
"444000/US",142928999900
"446000/US",1.19506e+11
"447000/US",89938999900
"448000/US",1.38822e+11
"454000/US",281213999000
"4B0000/US",230439999400
"481000/US",231559939600
"482000/US",78676994400
"483000/US",53003997900
"484000/US",339144951700
"485000/US",95605984600
"486000/US",50175997500
"48A000/US",155751866800
"492000/US",112654975700
"493000/US",128617973700
"511110/US",1.35e+10
"511120/US",13990999800
"511130/US",3.7041e+10
"5111A0/US",1.1931e+10
"511200/US",233071998300
"512100/US",1.31381e+11
"512200/US",1.8729e+10
"515100/US",8.171e+10
"515200/US",2.25e+10
"517110/US",368088966800
"517210/US",227509970000
"517A00/US",33668962100
"518200/US",248100894200
"519130/US",56922979800
"5191A0/US",1.0598e+10
"522A00/US",346705997800
"52A000/US",633603895400
"523900/US",389234999300
"523A00/US",162722997700
"524113/US",9.0314e+10
"5241XX/US",583841878500
"524200/US",370205985900
"525000/US",1.86494e+11
"531HSO/US",1.553178e+12
"531HST/US",4.67675e+11
"531ORE/US",1291180749000
"532100/US",140524874300
"532400/US",111204924100
"532A00/US",31740989600
"533000/US",158258972000
"541100/US",354240951300
"541511/US",2.71581e+11
"541512/US",197260964300
"54151A/US",60312991000
"541200/US",178661954800
"541300/US",340176925300
"541610/US",203318945200
"5416A0/US",57830986500
"541700/US",616841994500
"541800/US",405549946000
"541400/US",37600997600
"541920/US",12826999500
"541940/US",3.941e+10
"5419A0/US",88666989600
"550000/US",551856698200
"561300/US",384081700100
"561700/US",189377950800
"561100/US",38066973400
"561200/US",33597991100
"561400/US",92392960200
"561500/US",57740984900
"561600/US",70071981900
"561900/US",34723995200
"562111/US",63758602267.63
"562HAZ/US",17058744783.4
"562212/US",10814909150.42
"562213/US",1807911560
"562910/US",19515199462.6
"562920/US",7187170279.7361
"562OTH/US",13034536541.6
"611100/US",5.301e+10
"611A00/US",2.48762e+11
"611B00/US",7.9242e+10
"621100/US",4.92093e+11
"621200/US",1.294e+11
"621300/US",9.8045e+10
"621400/US",1.66141e+11
"621500/US",5.5127e+10
"621600/US",1.07602e+11
"621900/US",3.6283e+10
"622000/US",1.0538e+12
"623A00/US",1.90101e+11
"623B00/US",5.4157e+10
"624100/US",1.12901e+11
"624400/US",5.8404e+10
"624A00/US",5.5383e+10
"711100/US",46513997800
"711200/US",46228997100
"711500/US",39397996600
"711A00/US",32660999800
"712000/US",2.1226e+10
"713100/US",1.809e+10
"713200/US",1.12144e+11
"713900/US",86057997800
"721000/US",236899946600
"722110/US",373559960900
"722211/US",384972990900
"722A00/US",187982997900
"811100/US",194276929400
"811200/US",50434914800
"811300/US",64095830700
"811400/US",55132886200
"812100/US",7.963e+10
"812200/US",2.1338e+10
"812300/US",29200998500
"812900/US",8.1331e+10
"813100/US",1.00202e+11
"813A00/US",5.8458e+10
"813B00/US",95192997500
"814000/US",1.8684e+10
"S00500/US",5.99358e+11
"S00600/US",3.79143e+11
"491000/US",69564987000
"S00102/US",1.234e+09
"GSLGE/US",8.32472e+11
"GSLGH/US",6.8698e+10
"GSLGO/US",8.36043e+11
"S00203/US",107053929800
"S00401/US",1.0762e+10
"S00402/US",3e+06
"S00300/US",7989200
"S00900/US",3.468e+09
