"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"334517/US",202.913,203.813,201.975,202.032,201.744,201.591,182.22,170.833,159.852,150.022,145.348,140.218,134.181,129.274,126.681,121.08,111.195,108.32,106.087,102.876,100,93.278,91.659,88.318,87.911,89.928
"33451A/US",81.16,82.11,82.982,83.986,84.685,85.369,85.707,86.722,87.77,88.833,90.283,91.335,92.338,92.407,93.414,94.806,95.418,96.509,97.528,98.574,100,101.621,103.767,105.046,106.76,116.309
"334300/US",161.894,159.294,155.513,153.624,149.519,145.705,142.268,137.04,131.864,126.292,120.923,116.017,105.2,103.17,102.581,102.212,98.739,98.958,99.44,99.737,100,99.582,100.748,103.001,106.739,116.436
"334610/US",129.43,129.321,127.692,125.752,122.134,116.349,113.242,110.253,110.022,108.575,106.34,106.94,105.016,101.303,100.55,100.389,101.11,100.666,100.38,100.192,100,100.162,101.46,103.424,104.546,112.191
"335110/US",107.361,111.667,112.137,111.744,111.642,109.841,110.003,108.054,110.248,108.925,109.826,110.884,112.186,113.34,114.856,121.802,115.856,111.9,111.394,106.796,100,103.475,93.653,80.542,82.319,88.213
"335120/US",80.025,79.927,79.719,80.234,80.247,79.981,80.227,81.399,83.523,86.311,88.867,91.687,93.361,93.173,95.542,97.294,97.517,97.775,98.874,99.065,100,103.338,109.11,111.845,117.295,127.296
"335210/US",102.609,102.591,103.003,102.123,101.031,98.935,97.12,96.538,97.766,98.512,100.385,101.027,104.548,104.061,105.057,107.802,108.6,108.489,100.958,98.953,100,101.421,105.042,105.226,108.131,120.121
"335220/US",89.762,88.384,87.774,86.78,84.664,84.41,83.311,83.16,85.825,86.938,87.848,90.662,94.786,94.344,95.351,99.503,99.503,99.627,100.131,99.773,100,102.837,107.127,108.788,114.892,129.066
"335311/US",59.97,60.36,60.99,61.961,61.502,60.498,60.474,62.299,68.763,77.838,88.162,98.527,95.621,102.129,105.773,104.951,103.818,103.865,98.708,96.747,100,105.021,107.502,108.997,126.41,166.019
"335312/US",66.746,67.179,67.288,67.694,68.03,68.151,68.432,69.778,73.129,76.826,80.575,85.047,87.705,89.819,95.797,97.852,98.705,100.154,100.249,99.15,100,102.746,105.233,106.259,111.266,129.902
"335313/US",69.195,70.691,71.904,73.043,74.974,75.873,76.188,77.877,81.503,85.067,91.085,93.978,96.033,97.335,98.695,99.256,100.123,99.632,99.302,99.397,100,102.077,105.373,107.934,115.462,136.746
"335314/US",67.553,68.155,68.878,69.166,69.976,70.531,71.265,72.635,74.908,78.501,81.299,84.725,87.397,89.845,92.364,93.979,95.926,97.088,98.477,98.695,100,101.369,103.223,105.158,108.416,122.266
"335911/US",57.954,56.228,56.158,56.295,55.753,56.657,55.738,57.582,60.077,64.645,75.636,86.752,84.521,87.681,91.934,94.355,95.411,95.283,95.413,94.705,100,106.601,106.125,105.231,110.032,125.013
"335912/US",80.961,83.691,84.213,86.632,90.787,91.306,84.329,84.554,85.803,90.574,94.21,97.506,99.385,98.91,99.535,101.712,100.888,101.831,100.831,99.386,100,104.735,109.862,110.175,112.51,123.577
"335920/US",60.535,57.749,55.449,58.866,58.192,54.839,55.307,63.797,70.293,93.24,99.188,102.404,94.887,103.245,109.593,107.854,105.706,104.539,102.051,98.76,100,102.597,103.382,102.71,127.373,146.598
"335930/US",67.82,67.678,66.696,66.661,66.955,67.287,67.078,73.978,77.53,82.455,85.46,90.174,89.712,91.969,95.807,99.121,99.95,101.304,100.78,99.254,100,102,103.626,105.001,122.79,147.968
"335991/US",81.566,81.665,77.888,75.152,72.584,66.197,66.409,70.343,77.658,83.947,84.599,93.249,110.365,99.71,97.052,105.298,102.695,97.185,96.596,89.182,100,157.589,158.51,135.655,114.024,125.11
"335999/US",87.509,87.866,88.326,88.938,89.2,89.618,89.083,89.702,91.773,95.037,96.809,97.845,98.29,99.032,99.336,100.8,98.622,98.578,97.923,97.795,100,102.149,104.557,106.945,117.38,133.087
"336111/US",98.358,96.954,96.79,97.811,97.24,95.18,95.163,96.671,96.502,94.215,93.227,95.412,96.436,95.395,96.361,97.432,96.986,97.65,99.229,99.234,100,100.462,101.056,101.013,103.834,107.472
"336112/US",89.419,87.541,88.703,88.973,87.72,85.298,85.159,85.947,84.443,81.706,82.809,83.269,86.303,87.024,87.769,90.908,92.575,94.798,97.353,98.34,100,101.107,101.007,100.499,103.913,109.075
"336120/US",63.207,63.707,65.126,66.121,66.032,67.209,68.035,69.044,71.662,74.09,77.401,79.642,83.086,85.567,87.587,89.876,91.643,93.514,95.776,97.881,100,101.834,102.831,103.502,105.172,109.344
"336211/US",68.412,69.004,69.752,70.955,72.116,72.874,73.912,76.965,81.703,85.054,87.347,90.383,92.891,93.732,95.124,96.521,96.948,97.703,98.317,98.786,100,102.214,104.43,104.739,108.812,120.715
"336212/US",64.38,66.513,67.222,68.742,68.6,68.32,68.979,73.044,77.358,80.899,83.377,87.01,87.575,89.555,93.9,96.516,96.398,97.326,99.155,99.359,100,104.925,110.588,110.784,123.235,161.282
"336213/US",74.845,75.854,77.196,78.212,79.379,80.987,82.521,85.642,88.676,87.307,89.789,91.593,90.081,89.267,90.471,93.166,94.919,95.263,95.926,97.64,100,102.326,103.641,105.865,110.294,114.396
"336214/US",65.418,66.065,67.072,68.056,68.788,69.8,71.062,72.747,74.952,78.176,80.932,84.846,86.236,85.824,87.248,90.019,91.962,94.048,96.274,97.481,100,104.419,106.887,109.075,120.769,139.989
"336310/US",88.126,86.922,86.174,85.536,85.734,86.54,85.233,86.678,87.774,94.621,96.293,98.872,90.105,93.553,97.498,99.005,99.179,98.887,98.535,99.011,100,100.283,100.375,101.867,105.711,108.757
"336320/US",98.262,97.453,96.993,96.283,95.566,95.08,94.625,94.452,94.156,94.429,95.075,95.623,95.704,96.205,97.545,98.263,98.671,99.644,100.848,100.047,100,100.174,100.656,100.9,102.751,109.042
"336350/US",88.648,89.089,88.68,88.3,88.311,87.988,86.889,86.529,87.148,88.57,90.838,92.502,95.018,95.207,96.32,98.28,99.393,100.746,101.323,101.166,100,100.829,101.089,102.739,104.636,108.833
"336360/US",94.723,94.708,94.186,95.317,95.626,95.044,93.799,92.986,93.639,94.006,94.235,93.822,94.401,93.794,94.411,94.957,95.435,96.694,98.153,98.845,100,100.22,98.872,98.705,102.24,106.192
"336370/US",95.61,95.345,94.799,95.015,94.806,94.543,95.944,97.603,99.669,100.676,101.391,105.28,107.27,106.083,106.25,106.405,106.243,105.957,105.772,101.992,100,101.038,103.487,102.294,104.447,113.256
"336390/US",93.706,93.382,93.005,93.786,94.386,92.802,92.297,92.963,94.086,94.795,96.433,101.118,100.676,102.336,105.015,105.407,104.158,103.916,103.023,97.988,100,104.639,106.378,107.214,110.768,116.99
"3363A0/US",97.513,97.112,96.731,96.266,95.572,95.193,95.008,95.302,96.906,97.892,97.531,99.132,98.876,99.335,101.167,102.313,102.032,101.773,101.114,100.042,100,101.315,102.474,102.324,107.896,115.561
"336411/US",66.127,66.292,67.09,69.666,72.642,73.698,75.931,78.735,81.609,84.496,85.878,88.094,89.001,89.912,92.087,93.894,95.321,96.92,98.026,98.482,100,101.855,104.006,106.149,107.405,111.591
"336412/US",60.922,61.608,62.271,63.649,65.258,65.735,68.879,72.276,73.94,76.631,79.8,83.185,86.222,88.327,91.027,93.909,95.721,97.662,98.104,99.263,100,101.354,102.932,103.978,105.467,108.767
"336413/US",78.065,78.076,78.76,79.843,80.607,80.834,82.536,84.015,85.703,88.273,88.061,91.127,92.582,92.837,94.328,94.69,96.608,98.356,99.157,99.713,100,100.833,102.139,104.365,105.437,107.258
"336414/US",78.298,79.699,81.816,83.658,84.187,84.167,85.606,87.19,89.837,91.183,92.763,94.992,94.739,95.07,96.688,97.661,98.91,100.116,100.331,99.707,100,100.474,101.453,101.873,103.146,107.797
"33641A/US",67.286,66.756,69.46,71.074,72.276,73.947,75.732,77.994,81.149,80.897,83.563,86.829,87.92,89.285,92.63,92.511,94.03,97.141,98.715,98.04,100,102.501,103.663,106.132,111.256,117.743
"336500/US",72.914,72.971,73.132,73.407,73.191,73.067,73.058,74.875,80.767,84.612,87.383,89.393,89.892,90.533,92.141,94.163,96.03,97.179,99.098,99.894,100,99.77,100.919,100.138,101.959,114.558
"336611/US",67.355,67.3,67.129,68.603,68.956,69.618,71.044,76.52,80.271,85.717,89.37,92.071,94.518,95.451,97.31,97.949,97.963,99.055,100.017,99.469,100,101.107,101.786,102.639,104.33,109.118
"336612/US",60.535,61.416,62.907,65.191,67.677,68.78,70.106,71.291,74.498,77.201,79.538,82.178,83.938,85.199,86.758,88.882,91.208,93.379,95.503,97.602,100,103.418,107.983,111.007,117.769,132.086
"336991/US",81.642,82.269,82.949,84.86,86.031,87.071,87.786,88.549,89.868,90.564,91.158,92.706,93.601,94.049,94.644,96.378,97.127,97.352,98.379,99.465,100,100.54,103.045,104.625,105.424,108.018
"336992/US",68.647,70.494,75.363,80.472,80.627,82.794,83.661,86.16,87.366,87.795,89.4,90.879,92.46,93.164,94.821,96.45,97.229,98.349,99.515,99.336,100,101.545,101.998,102.498,105.64,111.026
"336999/US",83.213,84.754,84.83,86.71,88.235,88.435,88.544,90.104,92.383,93.871,95.661,94.847,94.195,94.875,95.312,96.326,97.106,96.05,96.437,97.526,100,101.682,104.315,104.848,108.622,118.56
"337110/US",70.352,71.604,72.694,74.257,75.502,76.492,77.744,78.907,80.386,82.587,84.346,86.241,87.661,87.77,89.055,91.016,93.801,96.355,98.047,99.068,100,101.039,103.212,104.059,107.863,118.716
"337121/US",72.558,73.591,74.601,75.898,76.92,77.927,78.633,79.106,80.825,84.168,85.815,89.013,90.983,90.623,91.964,93.912,95.391,97.286,98.121,98.705,100,102.511,104.208,105.332,114.314,130.883
"337122/US",67.924,69.091,70.523,71.73,72.872,74.205,74.748,75.678,78.105,80.352,81.744,84.33,87.384,88.284,89.834,91.973,93.873,95.503,97.085,98.441,100,101.387,103.492,105.042,110.287,120.493
"337127/US",65.024,65.676,66.299,66.901,67.835,68.277,68.855,71.2,74.059,76.547,79.551,83.35,85.798,85.753,88.011,90.427,92.209,94.342,96.961,98.324,100,101.276,105.578,108.701,115.704,135.415
"33712N/US",75.027,75.359,76.035,76.691,77.392,78.432,78.029,78.632,81.503,84.389,86.61,91.121,94.985,93.991,95.46,97.476,99.579,101.37,99.877,99.9,100,100.912,102.839,104.534,110.311,123.29
"337215/US",72.701,73.483,74.806,75.642,76.112,75.884,76.293,78.112,81.15,81.876,83.172,87.952,90.403,90.927,93.252,95.269,95.839,97.368,98.318,98.522,100,105.155,108.731,109.537,129.43,147.46
"33721A/US",70.975,70.65,70.96,71.589,72.333,73.051,74.043,75.574,79.608,81.746,84.187,87.4,90.098,90.688,92.577,94.308,94.278,97.575,98.178,98.516,100,102.501,105.506,107.773,112.824,125.856
"337900/US",68.319,69.219,69.594,70.526,71.34,71.422,71.252,74.372,79.726,83.462,83.573,86.285,89.28,88.628,90.536,95.169,95.595,94.42,95.712,96.047,100,102.794,104.297,105.688,114.215,130.013
"339112/US",89.916,89.453,89.207,89.076,89.968,91.284,93.643,94.629,95.179,94.803,95.257,96.246,96.833,97.259,97.252,97.358,97.858,97.68,98.859,99.727,100,100.76,100.777,102.235,102.488,105.062
"339113/US",77.409,78.343,79.405,80.948,82.106,83.502,85.152,87.451,88.349,89.94,91.118,93.465,94.752,95.361,96.577,96.92,98.238,99.133,100.147,99.594,100,101.408,102.694,103.379,105.826,110.556
"339114/US",50.329,52.351,54.924,56.409,57.837,58.271,60.292,61.545,63.967,69.415,71.455,73.87,75.124,78.892,87.19,88.574,92.001,95.226,96.808,95.764,100,102.98,108.742,112.144,115.714,119.385
"339115/US",78.211,77.899,77.839,77.163,77.01,77.428,77.797,78.281,78.965,80.947,81.626,82.733,83.595,85.668,88.506,98.224,99.708,99.939,98.821,98.794,100,102.514,103.736,105.803,108.222,113.716
"339116/US",35.168,36.267,38.419,40.049,41.214,41.462,42.11,43.831,50.841,54.676,58.745,64.871,64.208,74.324,87.923,86.003,89.808,91.397,91.673,90.86,100,102.733,110.894,118.294,122.292,122.851
"339910/US",64.822,64.488,64.085,64.411,64.744,65.33,66.041,67.914,69.824,73.221,75.487,79.323,81.214,85.928,94.075,99.438,99.483,94.617,93.965,97.542,100,99.851,102.338,107.132,110.975,117.716
"339920/US",96.321,97.528,97.598,96.951,96.809,96.212,95.239,94.838,95.749,97.727,100.924,98.587,97.747,97.802,97.379,97.001,97.854,99.563,101.122,101.725,100,101.245,104.518,104.32,109.03,119.648
"339930/US",81.588,81.261,81.213,81.406,82.284,82.997,83.013,83.379,84.908,85.689,86.782,89.435,94.35,93.329,95.918,97.992,98.336,98.976,100.76,100.413,100,102.256,103.022,104.72,111.685,121.309
"339940/US",82.588,82.955,83.017,83.504,84.701,85.439,85.257,85.531,86.993,87.469,88.801,89.973,91.671,91.263,92.932,94.224,95.886,96.663,97.802,99.411,100,101.27,102.9,103.201,105.459,115.156
"339950/US",80.138,81.507,83.675,84.463,84.394,82.331,82.365,83.372,87.351,90.923,93.029,94.342,93.829,93.864,94.778,95.572,96.89,98.029,98.103,98.059,100,102.482,103.507,104.978,108.122,120.004
"339990/US",71.909,72.667,73.714,74.789,75.969,76.85,77.55,78.953,80.553,83.003,85.563,90.922,92.436,92.102,94.24,95.892,96.209,97.394,98.782,99.149,100,101.434,106.735,108.469,111.816,122.466
"311111/US",61.005,60.857,60.459,60.276,62.062,62.045,62.357,65.981,66.893,67.912,71.85,81.664,87.052,87.281,89.876,92.346,95.412,97.007,98.107,100.027,100,102.012,105.799,106.629,110.166,124.366
"311119/US",67.335,56.319,51.011,52.372,54.024,55.618,59.284,65.158,60.121,63.237,78.588,102.479,93.153,92.118,114.768,124.37,124.816,114.21,105.572,101.379,100,104.96,105.743,107.356,128.136,148.102
"311210/US",67.958,62.044,58.099,56.203,56.98,57.663,62.79,67.979,66.281,72.129,86.153,119.16,97.404,94.506,112.253,115.652,116.816,114.909,106.198,100.229,100,103.193,103.541,104.986,119.724,142.36
"311221/US",66.65,58.986,55.765,57.08,61.972,62.009,66.053,70.987,70.039,76.987,91.016,109.806,100.008,96.772,120.272,122.696,127.761,109.628,97.917,99.912,100,99.059,100.364,100.971,117.682,135.573
"311225/US",56.438,55.282,51.733,49.803,50.471,52.967,60.714,71.948,66.358,68.475,79.155,109.202,87.299,89.218,114.192,113.459,107.104,99.464,95.057,95.279,100,96.46,91.63,95.462,129.197,157.47
"311224/US",73.327,60.598,50.932,52.28,52.209,54.93,65.492,76.421,69.435,70.652,84.74,119.403,103.779,102.271,124.801,137.064,136.386,127.274,102.685,99.735,100,101.681,93.619,95.255,125.34,141.535
"311230/US",71.771,72.09,73.094,73.401,74.295,75.14,76.502,77.968,80.127,80.867,82.722,85.977,88.467,89.568,92.64,95.686,97.664,97.995,98.374,99.502,100,100.952,104,104.431,105.705,115.575
"311300/US",65.981,65.67,66.057,64.698,65.931,68.121,70.709,71.221,74.139,77.77,77.847,82.952,90.361,95.613,103.019,103.864,98.365,97.408,100.511,100.268,100,101.228,103.197,106.604,111.975,120.368
"311410/US",73.195,73.071,73.833,73.459,74.105,74.76,75.658,76.865,78.648,81.437,82.954,87.268,91.713,92.79,95.8,98.733,99.186,100.289,100.542,99.104,100,101.631,100.711,100.251,102.724,117.326
"311420/US",67.133,67.037,67.817,68.39,69.381,70.434,70.984,71.847,73.85,76.151,80.232,86.185,91.29,90.139,92.563,96.459,97.7,98.304,100.006,98.902,100,101.026,102.014,104.557,107.38,125.216
"311513/US",72.003,78.712,77.768,72.109,78.78,73.608,76.9,86.711,83.987,77.331,93.82,101.34,80.824,89.245,102.139,101.309,104.678,118.256,100.101,97.378,100,97.358,102.781,107.236,104.705,120.459
"311514/US",71.079,72.991,73.442,73.776,77.524,73.393,72.906,77.978,79.595,80.66,97.979,92.979,81.731,90.452,100.568,101.225,104.81,110.098,95.571,94.307,100,96.678,100.147,100.18,112.103,124.72
"31151A/US",62.098,66.67,67.196,65.326,71.449,66.155,67.213,75.288,75.455,73.006,85.429,89.235,78.774,87.582,96.552,94.49,96.713,106.443,96.776,96.143,100,97.555,101.06,96.567,100.42,123.092
"311520/US",61.163,64.292,67.527,67.76,70.673,71.424,72.101,74.409,75.478,76.973,79.792,82.628,83.222,84.224,91.048,94.218,95.433,97.643,97.347,97.929,100,101.182,103.29,103.862,105.688,117.71
"311615/US",72.987,74.744,70.621,69.921,72.389,68.895,72.714,81.722,80.734,73.32,82.479,85.857,87.433,88.685,87.618,96.98,100.615,104.721,103.479,100.026,100,93.462,94.862,94.282,113.945,132.375
"31161A/US",60.422,54.772,55.712,60.361,63.689,60.512,68.24,71.782,73.413,71.865,75.121,79.241,73.787,83.4,96.451,101.044,101.795,117.03,108.907,98.819,100,98.551,100.09,102.784,125.094,124.372
"311700/US",60.586,61.708,64.918,68.084,65.073,64.031,65.515,66.567,69.742,71.244,75.947,82.241,84.078,87.409,95.121,94.576,92.431,94.513,93,93.769,100,103.508,107.017,106.438,112.984,125.214
"311810/US",53.83,54.301,55.226,56.846,58.907,59.6,61.089,61.738,63.518,65.911,68.834,76.676,80.822,82.159,84.814,86.904,88.27,91.126,93.724,97.432,100,104.622,108.31,110.219,113.503,128.814
"3118A0/US",68.228,68.639,68.831,68.967,69.918,70.684,73.498,74.484,75.323,76.764,80.153,89.295,91.435,91.303,95.178,98.255,98.789,98.844,100.076,99.591,100,101.293,103.211,103.604,105.182,115.958
"311910/US",61.501,61.904,62.495,63.725,65.317,66.757,68.244,69.914,74.743,74.58,75.429,81.809,86.716,90.724,94.344,100.399,100.325,101.624,100.594,100.397,100,102.734,104.244,103.592,104.902,115.432
"311920/US",78.756,74.893,70.802,70.304,66.608,66.203,68.824,70.191,78.989,80.572,85.385,92.38,93.252,97.804,112.918,109.786,101.191,102.147,105.146,101.155,100,100.223,100.486,100.723,102.332,116.156
"311930/US",74.556,75.252,76.668,78.899,80.913,82.101,82.922,83.879,85.739,87.952,89.635,92.193,93.832,92.17,93.752,95.992,95.567,96.208,97.32,98.315,100,103.292,108.803,114.758,119.926,131.242
"311940/US",62.837,63.733,64.189,64.34,65.445,66.523,69.024,72.139,71.831,71.984,75.098,81.878,81.088,80.906,84.009,87.542,89.281,90.883,92.193,94.472,100,101.892,105.021,105.82,109.257,118.344
"311990/US",76.083,74.694,74.179,73.759,75.072,76.1,78.743,81.656,82.181,83.706,88.413,96.758,91.637,93.411,97.887,100.416,103.805,108.159,117.741,98.247,100,106.801,98.504,99.88,101.258,125.119
"312110/US",68.471,69.246,70.752,73.727,75.62,76.972,77.86,79.535,80.914,82.912,84.545,88.285,91.275,91.486,92.971,95.639,95.648,96.288,97.177,101.179,100,101.187,104.967,107.344,112.273,126.699
"312120/US",66.057,66.421,67.865,69.715,72.4,73.344,74.052,76.758,79.471,79.399,78.297,83.016,84.756,87.453,90.036,93.656,95.105,98.666,99,99.036,100,99.094,99.291,100.579,100.006,104.794
"312130/US",82.084,81.359,82.457,82.91,83.011,82.803,82.595,82.245,84.85,89.093,90.559,92.674,94.056,93.994,94.44,95.54,96.376,96.404,96.735,97.668,100,99.831,100.198,102.918,103.748,109.317
"312140/US",109.679,109.093,114.594,107.775,112.402,110.117,104.958,106.042,102.539,102.517,103.781,106.099,105.211,105.915,103.014,103.496,104.019,106.256,107.2,109.278,100,97.846,97.123,96.648,95.681,99.704
"312200/US",28.094,31.738,41.588,44.729,49.383,53.358,51.542,51.537,54.612,54.551,57.645,60.492,73.261,78.6,83.385,88.29,90.456,95.566,95.352,95.8,100,104.856,109.61,113.568,123.235,126.966
"313100/US",89.222,87.815,82.565,82.411,81.574,79.038,80.376,83.791,85.674,87.858,89.171,93.53,90.681,96.016,115.956,106.881,105.671,105.296,99.336,97.266,100,104.926,104.741,100.775,117.189,139.505
"313200/US",82.531,81.953,78.818,78.395,78.404,77.031,76.611,77.767,80.117,82.424,83.275,86.604,87.102,89.769,97.658,98.285,99.042,101.271,101.321,100.333,100,102.457,104.987,104.641,113.329,125.952
"313300/US",78.484,78.616,78.319,78.852,78.536,77.941,76.725,76.673,79.18,82.198,84.239,86.808,86.935,88.791,96.132,97.381,97.961,98.17,97.949,98.692,100,102.672,105.87,110.633,123.869,142.766
"314110/US",68.303,68.553,68.04,69.407,69.899,69.949,71.532,73.356,78.402,82.859,83.746,85.5,89.388,90.18,93.884,95.917,96.623,98.946,99.655,99.626,100,104.407,105.898,104.395,108.133,110.873
"314120/US",71.421,71.687,71.803,71.511,71.824,71.722,71.634,71.829,71.958,72.472,73.758,75.206,77.602,79.282,87.763,91.452,92.156,97.265,98.638,98.877,100,100.053,101.353,101.827,104.175,109.456
"314900/US",77.256,78.145,77.648,78.344,79.417,79.551,79.25,80.506,83.237,85.334,86.527,89.742,90.915,91.828,94.589,97.103,99.541,100.569,100.478,100.046,100,102.252,103.311,103.201,109.629,122.002
"315000/US",81.672,82.46,82.614,82.943,82.734,82.267,82.697,83.192,83.754,84.476,85.462,86.659,88.401,88.991,90.377,92.727,94.648,95.663,97.911,98.487,100,101.585,103.359,103.457,104.885,109.894
"316000/US",80.28,80.149,80.26,81.088,82.918,83.073,84.471,84.787,85.267,86.504,88.446,90.675,91.65,92.21,95.533,98.081,101.912,105.363,103.22,100.341,100,97.962,95.404,93.912,98.951,101.15
"322110/US",65.429,62.231,60.822,74.588,64,58.805,61.29,66.535,69.594,73.406,81.731,88.065,82.305,95.658,101.999,100.156,97.389,100.274,103.225,95.625,100,123.757,97.432,76.58,105.401,132.669
"322120/US",77.795,77.521,75.939,80.568,80.104,78.064,78.769,80.329,85.537,89.692,91.203,98.254,98.675,100.069,102.964,103.377,102.584,102.286,101.605,100.726,100,102.384,104.089,102.617,106.03,120.336
"322130/US",57.696,59.837,60.013,68.721,67.015,64.193,63.744,66.711,69.152,75.08,78.714,85.663,81.823,89.019,91.627,90.657,95.664,97.469,95.377,91.383,100,106.302,103.56,99.107,114.93,135.303
"322210/US",48.278,52.216,54.037,60.294,60.86,59.659,59.787,61.925,64.555,69.663,71.997,76.359,77.288,81.065,84.272,84.586,90.737,93.044,93.843,93.719,100,103.456,104.285,102.366,113.025,130.282
"322220/US",74.366,74.334,74.496,76.607,77.195,76.79,77.011,78.422,82.082,85.493,87.182,91.051,92.506,94.673,99.316,100.122,99.984,101.129,100.907,99.893,100,104.295,106.583,106.721,112.354,126.483
"322230/US",68.145,67.948,67.366,69.798,70.976,69.97,71.565,72.33,76.465,80.235,83.855,88.342,90.591,91.225,93.109,94.722,96.762,98.508,98.076,99.119,100,106.468,109.894,109.562,115.628,142.077
"322291/US",82.633,82.883,83.638,84.434,85.646,86.683,87.26,85.658,88.097,89.408,88.766,94.723,98.723,98.916,100.223,101.458,101.332,100.198,99.8,100.321,100,99.261,100.029,100.557,102.786,113.583
"322299/US",68.866,69.415,69.477,72.909,74.206,73.406,74.563,76.121,78.379,80.534,82.908,85.322,86.871,88.947,92.839,93.431,93.455,96.928,99.146,99.616,100,100.003,102.081,102.639,110.558,130.066
"323110/US",83.018,84.375,85.776,87.334,86.791,84.189,84.832,85.799,89.243,93.067,94.415,96.049,95.845,96.089,97.73,97.898,98.376,98.924,99.304,99.448,100,101.027,103.859,104.724,109.203,124.642
"323120/US",93.819,94.795,95.56,97.392,97.325,96.493,95.866,96.183,96.069,96.825,97.574,98.203,98.263,98.044,97.585,97.711,98.755,98.263,98.938,99.247,100,100.504,102.01,103.093,105.107,113.873
"324110/US",39.613,30.156,35.187,52.99,48.679,45.904,56.551,69.777,95.224,111.571,122.952,155.562,99.563,130.077,171.718,173.547,166.986,158.025,100.931,81.373,100,122.616,108.552,79.74,133.142,195.444
"324121/US",39.274,39.057,39.247,44.896,46.321,46.85,49.003,49.819,54,68.422,74.538,90.283,90.966,94.553,100.06,106.568,106.905,108.861,105.771,100.141,100,106.592,109.6,106.746,111.3,129.662
"324122/US",45.034,44.83,44.865,47.703,48.83,50.052,52.506,53.181,59.046,65.328,66.079,82.161,96.785,97.495,102.075,101.909,104.341,102.294,101.374,100.39,100,106.013,109.947,111.852,122.828,143.091
"324190/US",40.962,40.809,40.892,43.815,45.425,46.022,48.295,50.933,58.383,69.331,73.472,86.903,84.834,96.013,117.519,122.038,117.534,115.093,105.832,94.706,100,109.627,110.611,105.841,125.75,181.27
"325110/US",55.021,46.345,49.005,63.298,57.314,56.545,63.183,76.953,99.425,111.309,116.185,134.737,95.202,144.736,184.816,150.34,144.745,144.795,95.05,74.332,100,123.594,83.802,72.314,157.949,186.632
"325120/US",55.973,55.024,54.968,56.636,58.347,57.484,58.761,62.354,68.938,70.729,72.623,82.035,79.047,80.088,83.77,85.015,87.58,91.453,91.381,94.554,100,103.821,114.01,112.731,119.745,138.933
"325130/US",83.851,84.859,84.675,84.804,83.191,79.029,78.776,81.314,85.903,89.354,92.822,98.853,94.713,97.561,114.937,130.174,119.058,111.808,103.974,96.281,100,107.056,113.803,112.911,115.122,136.959
"325180/US",46.485,45.743,41.789,42.989,45.424,44.001,47.025,48.736,56.58,66.046,68.101,88.868,95.268,91.036,101.923,105.295,103.766,102.093,101.087,96.231,100,109.647,110.415,107.193,116.747,146.015
"325190/US",52.367,49.389,49.175,55.555,55.816,55.551,58.877,64.118,72.213,77.537,80.218,93.864,92.182,93.811,112.779,111.2,111.65,108.446,98.023,95.338,100,102.982,100.675,96.197,121.285,141.264
"325211/US",58.266,53.409,53.876,61.393,57.975,57.196,63.564,71.687,84.035,87.008,86.315,95.011,84.809,94.127,103.465,104.441,107.82,111.872,98.823,93.476,100,105.093,98.076,93.519,130.272,134.145
"3252A0/US",67.387,65.878,63.026,66.026,66.82,65.193,67.593,70.062,76.79,80.722,82.211,92.714,85.681,94.061,109.679,111.022,105.962,105.734,97.342,94.982,100,103.023,100.868,95.045,110.453,123.445
"325411/US",73.021,74.031,77.827,79.902,77.685,73.618,75.154,75.392,76.403,77.739,79.653,87.127,94.344,98.222,99.049,100.091,98.093,100.097,101.085,99.605,100,103.642,104.277,105.905,106.118,108.875
"325412/US",37.486,43.067,44.554,45.548,46.809,48.325,50.38,52.476,54.991,57.606,59.624,63.122,66.522,69.652,72.715,76.284,79.705,84.368,89.951,95,100,103.35,105.562,108.13,108.573,111.181
"325413/US",66.785,68.429,69.834,71.946,72.543,73.715,74.719,75.797,78.074,79.946,80.062,82.507,85.07,86.129,88.589,90.932,97.216,101.591,99.683,98.931,100,101.285,102.286,103.558,104.842,112.457
"325414/US",58.125,59.868,64.529,64.875,67.109,67.592,66.126,69.336,74.783,78.076,80.304,83.065,83.752,85.64,89.021,90.547,92.592,94.427,97.535,99.71,100,102.467,107.263,109.545,111.594,113.978
"325310/US",60.181,58.294,55.873,54.309,57.533,52.656,61.833,70.963,79.361,83.628,104.598,198.664,99.505,110.79,148.467,149.101,140.769,133.386,128.354,104.896,100,107.17,107.194,100.475,135.051,189.642
"325320/US",78.122,78.352,76.412,77.384,78.711,79.006,78.98,79.606,80.533,84.331,86.451,93.966,102.001,94.724,94.431,99.211,100.488,101.767,100.645,99.807,100,107.474,110.382,105.611,109.06,139.608
"325510/US",55.789,56.657,57.422,58.635,59.641,60.401,61.868,63.984,68.513,73.536,76.432,81.486,86.139,86.511,90.791,98.262,99.573,100.557,99.429,98.631,100,102.928,106.689,108.19,116.978,147.522
"325520/US",61.977,62.916,63.095,64.16,65.981,66.139,66.957,68.863,73.574,79.141,81.908,87.464,88.815,90.137,95.001,97.589,98.498,98.974,99.106,98.904,100,100.189,101.194,101.697,105.722,120.927
