"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"230302/US",56.321,57.207,59.03,61.424,63.537,64.662,66.974,71.515,75.948,80.569,82.937,86.148,83.579,85.388,88.904,89.63,91.692,94.216,93.724,94.762,100,103.095,105.011,106.572,118.94,135.473
"2332A0/US",48.882,51.279,53.581,55.75,57.637,59.231,60.882,64.727,71.075,77.3,81.966,85.523,87.462,85.063,86.997,89.661,91.449,93.919,96.029,97.576,100,103.845,108.774,111.069,118.968,147.031
"233412/US",42.484,45.746,47.394,49.648,51.169,52.81,54.942,58.208,62.648,69.193,72.2,73.829,74.093,75.131,74.298,75.637,78.135,81.52,90.189,94.802,100,106.75,108.657,109.894,114.318,123.771
"2334A0/US",55.795,56.869,58.938,61.454,63.93,65.206,67.942,72.944,77.731,82.575,84.468,85.78,82.992,83.879,86.44,87.136,90.025,93.661,94.093,96.133,100,104.617,107.014,109.508,122.06,140.178
"233230/US",53.055,55.23,57.45,59.599,61.679,63.538,64.636,68.024,73.269,78.048,82.328,86.529,88.155,85.927,87.805,89.987,92.104,95.121,96.946,97.529,100,104.672,110.825,114.112,120.243,147.025
"2332D0/US",51.076,52.502,54.576,56.927,59.302,60.419,62.033,65.767,71.32,77.04,81.048,83.267,81.192,79.91,81.8,83.774,86.591,90.379,93.087,96.148,100,104.394,108.603,111.496,119.447,131.021
"233240/US",57.237,57.914,58.098,59.992,61.736,63.178,64.645,69.137,74.233,81.277,85.337,90.9,89.933,93.198,97.171,99.277,100.251,100.055,99.312,98.283,100,99.6,103.012,105.845,110.346,119.471
"233411/US",53.34,54.739,57.228,59.871,62.89,64.628,68.217,74.044,79.641,84.709,85.586,82.929,79.555,78.271,78.831,79.506,83.891,89.585,91.82,95.746,100,104.288,107.642,112.059,125.31,145.901
"2332C0/US",43.663,44.737,46.24,48.45,49.939,51.487,52.511,55.255,61.738,67.835,76.128,82.262,83.63,84.709,88.511,92.786,95.173,96.391,96.55,96.998,100,104.611,106.94,107.85,117.945,129.766
"321100/US",95.555,89.807,92.848,87.982,84.818,83.897,85.078,98.521,97.806,93.902,89.224,86.558,76.959,85.647,85.78,86.079,95.03,108.026,98.744,98.685,100,105.82,95.064,93.036,125.533,123.873
"321200/US",72.105,71.514,77.144,72.981,70.539,69.526,75.652,87.283,86.744,82.2,76.832,77.904,73.75,79.137,76.819,85.072,92.863,91.408,90.185,92.043,100,109.551,102.267,120.142,169.215,188.406
"321910/US",75.4,75.003,76.243,75.983,76.453,76.332,77.374,83.244,83.488,84.25,83.547,83.48,81.813,84.897,85.385,86.553,91.644,98.308,97.096,97.628,100,103.58,103.87,105.398,126.204,144.605
"3219A0/US",67.53,68.563,69.887,70.87,71.678,72.12,73.503,77.611,81.404,84.521,85.46,87.813,86.375,86.853,88.137,90.367,93.626,97.583,98.6,98.213,100,105.595,110.505,112.901,134.021,153.614
"327100/US",67.929,68.685,70.187,71.555,74.573,74.218,74.501,75.962,79.091,83.38,85.347,88.021,90.82,91.418,92.339,94.054,95.955,97.129,98.714,99.432,100,102.16,104.701,107.399,111.726,123.271
"327200/US",78.271,76.881,76.395,78.084,78.6,79.265,79.599,79.17,80.848,82.564,83.953,86.189,86.975,87.889,88.55,89.929,91.455,92.602,94.928,97.709,100,104.012,105.366,106.559,115.135,121.606
"327310/US",57.541,60.082,62.159,61.982,61.906,62.947,62.743,64.755,72.747,82.093,86.325,86.039,84.634,79.874,77.289,77.855,81.297,84.852,90.961,95.661,100,102.522,104.928,106.07,110.281,120.946
"327320/US",52.369,53.866,55.258,56.747,57.976,57.966,58.22,61.251,68.465,76.485,79.82,82.015,83.949,81.894,81.488,83.298,85.714,89.546,93.607,96.955,100,104.2,106.874,109.575,114.085,126.071
"327330/US",58.481,59.718,61.332,63.14,65.339,66.658,67.515,70.231,75.415,80.668,83.678,88.135,89.089,87.454,88.346,89.425,91.237,93.812,96.094,98.063,100,102.082,105.656,109.175,115.077,130.889
"327390/US",56.003,58.007,59.61,61.525,63.26,64.246,64.547,67.924,72.091,77.729,81.283,84.743,84.216,84.637,85.495,86.511,88.351,91.623,94.303,97.348,100,103.571,107.999,110.954,119.838,138.858
"327400/US",55.676,57.547,64.763,61.963,51.338,54.798,55.753,63.072,71.863,84.322,74.071,68.625,73.263,72.272,72.836,79.545,87.001,92.133,93.328,94.314,100,105.304,101.85,103.05,116.171,138.076
"327910/US",71.633,72.197,71.825,72.049,72.233,72.014,72.061,71.828,74.053,77.689,79.726,84.786,88.938,88.61,91.926,94.109,95.194,96.405,96.78,98.528,100,102.371,104.268,105.5,114.206,126.195
"327991/US",82.867,84.077,84.804,85.388,86.892,87.315,87.552,87.599,88.957,90.586,90.626,91.379,90.64,90.292,90.543,90.66,91.138,93.261,95.97,98.776,100,102.391,107.009,110.078,117.141,134.437
"327992/US",50.809,51.378,51.866,52.745,54.056,54.51,55.057,56.253,58.882,63.631,66,69.959,79.775,82.241,85.772,89.585,92.783,96.425,98.629,99.399,100,101.514,105.65,104.642,104.947,111.392
"327993/US",59.389,60.324,66.015,64.6,64.096,64.389,64.607,68.654,71.233,75.003,72.928,70.735,71.37,72.859,82.064,87.328,91.876,97.165,97.1,99.007,100,103.026,102.417,103.97,114.989,135.265
"327999/US",61.16,61.944,62.991,64.133,65.433,66.031,67.955,70.113,73.804,79.812,84.355,86.165,86.802,86.502,88.089,90.048,92.073,94.74,97.118,99.359,100,100.156,101.346,101.26,103.96,112.996
"331110/US",66.47,64.869,59.506,61.044,57.025,58.735,61.281,79.346,86.019,95.298,102.624,118.031,88.745,105.62,118.705,113.994,106.549,109.509,95.392,88.227,100,114.843,109.504,97.09,150.724,162.44
"331200/US",51.372,51.3,46.526,47.821,45.94,46.078,47.531,63.539,77.567,84.156,88.594,101.847,90.413,99.312,110.891,112.998,101.921,105.741,94.045,89.627,100,107.78,104.471,93.046,146.004,162.41
"331314/US",97.818,85.66,81.329,93.377,86.686,82.272,85.984,104.057,113.204,143.447,146.415,151.904,104.796,112.063,122.121,106.236,97.129,98.162,87.857,82.401,100,106.702,90.726,87.288,125.014,134.775
"331313/US",101.293,89.436,85.462,98.388,91.17,87.437,90.921,107.453,118.27,142.864,146.377,153.509,110.901,115.178,125.973,112.29,103.581,105.162,95.907,87.516,100,104.537,93.796,91.334,129.507,139.127
"33131B/US",83.223,79.746,76.824,82.426,81.09,77.309,77.648,80.673,86.848,98.849,104.123,105.402,85.619,96.103,104.655,98.921,96.353,98.897,95.569,91.376,100,111.729,107.784,96.128,111.183,119.619
"331410/US",59.482,48.269,46.525,49.966,46.316,44.718,45.99,59.009,73.811,111.074,124.301,120.223,91.203,110.667,127.799,117.744,109.962,104.147,93.709,92.476,100,101.725,100.773,104.84,120.219,122.181
"331420/US",50.336,43.313,42.498,45.782,43.565,41.927,42.865,55.074,64.793,105.358,112.19,110.74,93.872,112.286,124.281,114.005,108.179,104.472,94.36,86.708,100,105.368,102.313,104.023,131.086,133.813
"331490/US",65.292,63.107,61.596,64.188,63.651,62.826,62.748,70.672,84.496,106.608,119.174,111.911,99.988,109.574,123.76,117.606,111.977,106.623,98.936,96.42,100,106.697,108.688,107.032,118.166,128.251
"331510/US",58.827,59.08,59.398,60.332,60.596,60.894,61.371,65.328,71.471,74.613,77.135,88.284,85.232,89.774,95.587,99.197,99.8,100.576,100.019,99.315,100,102.193,104.49,105.399,113.417,127.158
"331520/US",87.562,85.041,83.762,84.921,84.651,84.457,85.477,87.405,89.335,95.987,97.169,102.016,91.595,97.737,102.76,101.539,100.98,102.307,100.8,97.515,100,102.606,99.487,96.99,100.788,112.082
"332114/US",88.519,91.78,91.472,85.41,78.81,78.819,79.408,95.707,103.909,103.624,101.336,114.898,108.099,114.537,117.263,114.345,110.533,107.46,100.342,96.841,100,102.781,99.103,94.27,144.331,183.988
"33211A/US",81.922,83.421,83.022,82.939,82.618,81.844,81.368,83.154,88.364,91.286,93.773,98.968,97.725,97.69,101.293,101.661,100.892,101.689,100.811,99.921,100,100.624,99.719,99.011,106.101,120.264
"332119/US",67.006,67.14,66.874,67.025,67.135,67.356,67.95,73.917,77.919,80.649,84.991,92.206,90.696,91.256,96.039,95.802,96.207,96.82,96.515,96.841,100,103.515,104.753,104.479,121.515,134.411
"332200/US",72.751,73.577,74.096,75.325,76.305,76.742,77.257,78.55,81.937,83.987,86.019,88.877,91.577,92.407,93.718,95.632,97.164,98.331,99.066,99.635,100,101.186,103.496,104.732,108.404,117.599
"332310/US",63.645,65.365,66.176,67.338,67.165,66.732,66.1,76.22,82.185,85.384,89.107,101.756,94.619,92.036,97.505,99.207,99.197,100.097,98.812,96.275,100,109.983,112.618,110.241,138.565,170.539
"332320/US",63.51,63.937,64.13,65.04,65.29,65.836,66.823,73.638,77.561,80.955,83.473,89.448,88.738,89.584,94.378,95.381,94.814,95.891,97.531,97.794,100,105.602,108.372,109.156,126.122,153.898
"332410/US",57.492,58.385,58.914,59.582,60.241,60.957,61.245,65.943,74.125,79.545,82.212,86.96,86.166,86.745,89.839,92.588,93.888,94.862,97.43,98.809,100,105.329,109.659,111.677,122.996,140.608
"332420/US",71.756,72.871,73.812,74.552,75.203,75.872,76.062,83.422,92.287,96.184,100.818,109.921,109.332,106.712,106.422,108.697,109.071,111.538,110.885,107.531,100,107.78,114.431,114.7,140.786,163.268
"332430/US",71.879,71.765,70.633,71.069,70.751,71.543,72.865,77.324,82.498,84.866,89.324,96.469,104.394,104.947,101.718,101.88,102.099,101.146,100.831,97.134,100,106.881,108.939,108.637,120.445,153.452
"332500/US",68.39,68.834,69.398,70.681,71.677,72.17,72.467,75.117,77.896,80.593,83.529,88.727,89.991,90.444,93.754,95.061,95.034,96.689,98.171,98.21,100,102.083,104.779,106.458,118.761,137.343
"332600/US",66.954,67.176,66.578,66.724,66.837,67.147,67.797,80.162,84.378,85.818,86.627,97.737,95.914,95.337,98.641,100.275,100.33,100.798,100.588,99.415,100,110.475,114.472,113.584,131.746,165.891
