Fossil Fuel terms for lookup,FuelConsumed
Oil and Gas,Oil and Gas
Coal,Coal
Natural Gas,Natural Gas
Fuel Oil,Fuel Oil
Wood,Wood
Crude,Crude Oil
Crude Oil,Crude Oil
Coke,Coal
Coking coal,Coal
Distillate Fuel Oil,Distillate Fuel Oil
Gasoline,Gasoline
Diesel,Diesel
Jet Fuel,Jet Fuel
LPG,Liquefied Petroleum Gas
Residual Fuel Oil,Fuel Oil
