"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"221300/US",41.28,42.637,43.567,44.791,46.267,47.787,49.607,52.713,55.924,58.838,61.905,65.465,69.319,74.007,78.216,82.774,86.579,90.016,93.516,96.567,100,103.438,106.803,109.53,115.746,124.486,130.565,135.392
"233210/US",59.875,62.065,64.705,67.589,70.603,71.916,74.112,78.607,85.139,92.421,96.738,98.682,94.615,90.474,91.182,92.271,94.378,97.306,98.018,98.606,100,104.021,108.722,111.11,116.407,136.383,147.683,146.945
"233262/US",46.69,48.685,50.621,52.693,54.634,56.298,57.578,60.696,65.483,69.719,76.664,80.226,85.674,85.359,87.842,90.803,92.242,95.364,97.169,97.93,100,104.184,110.277,113.159,117.075,136.192,146.413,147.169
"230301/US",47.091,48.661,50.105,52.149,54.407,56.209,57.865,62.064,69.297,76.262,80.891,85.789,85.112,85.618,89.108,93.064,94.5,97.004,97.803,97.493,100,101.986,105.88,107.628,113.165,130.16,136.446,136.938
"230302/US",56.321,57.207,59.03,61.424,63.537,64.662,66.974,71.515,75.948,80.569,82.937,86.148,83.579,85.388,88.904,89.63,91.692,94.216,93.724,94.762,100,103.095,104.717,105.109,117.313,128.279,129.033,132.75
"2332A0/US",48.882,51.279,53.581,55.75,57.637,59.231,60.882,64.727,71.075,77.3,81.966,85.523,87.462,85.063,86.997,89.661,91.449,93.919,96.029,97.576,100,103.845,108.754,111.051,118.93,147.416,157.965,158.172
"233412/US",42.484,45.746,47.394,49.648,51.169,52.81,54.942,58.208,62.648,69.193,72.2,73.829,74.093,75.131,74.298,75.637,78.135,81.52,90.189,94.802,100,106.75,108.676,109.917,114.308,125.704,132.294,134.453
"2334A0/US",55.795,56.869,58.938,61.454,63.93,65.206,67.942,72.944,77.731,82.575,84.468,85.78,82.992,83.879,86.44,87.136,90.025,93.661,94.093,96.133,100,104.617,106.813,109.994,123.568,139.686,140.902,147.075
"233230/US",53.055,55.23,57.45,59.599,61.679,63.538,64.636,68.024,73.269,78.048,82.328,86.529,88.155,85.927,87.805,89.987,92.104,95.121,96.946,97.529,100,104.672,110.827,114.03,120.151,147.37,157.629,157.185
"2332D0/US",51.076,52.502,54.576,56.927,59.302,60.419,62.033,65.767,71.32,77.04,81.048,83.267,81.192,79.91,81.8,83.774,86.591,90.379,93.087,96.148,100,104.394,108.649,111.568,119.539,135.907,142.815,146.139
"233240/US",57.237,57.914,58.098,59.992,61.736,63.178,64.645,69.137,74.233,81.277,85.337,90.9,89.933,93.198,97.171,99.277,100.251,100.055,99.312,98.283,100,99.6,103.019,105.816,110.158,120.398,124.565,122.666
"233411/US",53.34,54.739,57.228,59.871,62.89,64.628,68.217,74.044,79.641,84.709,85.586,82.929,79.555,78.271,78.831,79.506,83.891,89.585,91.82,95.746,100,104.288,107.656,112.163,125.359,145.437,150.343,153.055
"2332C0/US",43.663,44.737,46.24,48.45,49.939,51.487,52.511,55.255,61.738,67.835,76.128,82.262,83.63,84.709,88.511,92.786,95.173,96.391,96.55,96.998,100,104.611,106.944,107.843,117.887,129.729,133.137,135.611
"321100/US",95.555,89.807,92.848,87.982,84.818,83.897,85.078,98.521,97.806,93.902,89.224,86.558,76.959,85.647,85.78,86.079,95.03,108.026,98.744,98.685,100,105.82,95.069,93.017,125.503,123.896,103.453,103.8
"321200/US",72.105,71.514,77.144,72.981,70.539,69.526,75.652,87.283,86.744,82.2,76.832,77.904,73.75,79.137,76.819,85.072,92.863,91.408,90.185,92.043,100,109.551,102.254,120.163,169.23,189.029,157.981,152.859
"321910/US",75.4,75.003,76.243,75.983,76.453,76.332,77.374,83.244,83.488,84.25,83.547,83.48,81.813,84.897,85.385,86.553,91.644,98.308,97.096,97.628,100,103.58,103.873,105.398,126.202,144.587,140.219,142.113
"3219A0/US",67.53,68.563,69.887,70.87,71.678,72.12,73.503,77.611,81.404,84.521,85.46,87.813,86.375,86.853,88.137,90.367,93.626,97.583,98.6,98.213,100,105.595,110.506,112.896,134.07,154.003,146.212,142.729
"327100/US",67.929,68.685,70.187,71.555,74.573,74.218,74.501,75.962,79.091,83.38,85.347,88.021,90.82,91.418,92.339,94.054,95.955,97.129,98.714,99.432,100,102.16,104.695,107.365,111.737,123.245,129.854,132.015
"327200/US",78.271,76.881,76.395,78.084,78.6,79.265,79.599,79.17,80.848,82.564,83.953,86.189,86.975,87.889,88.55,89.929,91.455,92.602,94.928,97.709,100,104.012,105.376,106.583,115.203,121.957,128.952,131.661
"327310/US",57.541,60.082,62.159,61.982,61.906,62.947,62.743,64.755,72.747,82.093,86.325,86.039,84.634,79.874,77.289,77.855,81.297,84.852,90.961,95.661,100,102.522,104.923,106.071,110.356,121.061,135.463,143.197
"327320/US",52.369,53.866,55.258,56.747,57.976,57.966,58.22,61.251,68.465,76.485,79.82,82.015,83.949,81.894,81.488,83.298,85.714,89.546,93.607,96.955,100,104.2,106.87,109.575,114.088,126.107,139.53,147.393
"327330/US",58.481,59.718,61.332,63.14,65.339,66.658,67.515,70.231,75.415,80.668,83.678,88.135,89.089,87.454,88.346,89.425,91.237,93.812,96.094,98.063,100,102.082,105.641,109.17,115.091,130.867,144.175,151.567
"327390/US",56.003,58.007,59.61,61.525,63.26,64.246,64.547,67.924,72.091,77.729,81.283,84.743,84.216,84.637,85.495,86.511,88.351,91.623,94.303,97.348,100,103.571,107.994,110.952,119.841,138.845,150.906,155.399
"327400/US",55.676,57.547,64.763,61.963,51.338,54.798,55.753,63.072,71.863,84.322,74.071,68.625,73.263,72.272,72.836,79.545,87.001,92.133,93.328,94.314,100,105.304,101.85,103.047,116.168,138.103,149.898,157.501
"327910/US",71.633,72.197,71.825,72.049,72.233,72.014,72.061,71.828,74.053,77.689,79.726,84.786,88.938,88.61,91.926,94.109,95.194,96.405,96.78,98.528,100,102.371,104.259,105.481,114.203,126.216,132.285,135.406
"327991/US",82.867,84.077,84.804,85.388,86.892,87.315,87.552,87.599,88.957,90.586,90.626,91.379,90.64,90.292,90.543,90.66,91.138,93.261,95.97,98.776,100,102.391,107.013,110.057,116.979,134.221,140.653,144.047
"327992/US",50.809,51.378,51.866,52.745,54.056,54.51,55.057,56.253,58.882,63.631,66,69.959,79.775,82.241,85.772,89.585,92.783,96.425,98.629,99.399,100,101.514,105.638,104.632,104.891,111.37,118.806,120.856
"327993/US",59.389,60.324,66.015,64.6,64.096,64.389,64.607,68.654,71.233,75.003,72.928,70.735,71.37,72.859,82.064,87.328,91.876,97.165,97.1,99.007,100,103.026,102.402,103.96,114.993,135.254,143.063,150.567
"327999/US",61.16,61.944,62.991,64.133,65.433,66.031,67.955,70.113,73.804,79.812,84.355,86.165,86.802,86.502,88.089,90.048,92.073,94.74,97.118,99.359,100,100.156,101.336,101.242,103.958,113.017,120.133,124.914
"331110/US",66.47,64.869,59.506,61.044,57.025,58.735,61.281,79.346,86.019,95.298,102.624,118.031,88.745,105.62,118.705,113.994,106.549,109.509,95.392,88.227,100,114.843,109.507,97.189,150.995,162.631,137.698,124.822
"331200/US",51.372,51.3,46.526,47.821,45.94,46.078,47.531,63.539,77.567,84.156,88.594,101.847,90.413,99.312,110.891,112.998,101.921,105.741,94.045,89.627,100,107.78,104.478,93.212,146.284,162.591,141.689,129.409
"331314/US",97.818,85.66,81.329,93.377,86.686,82.272,85.984,104.057,113.204,143.447,146.415,151.904,104.796,112.063,122.121,106.236,97.129,98.162,87.857,82.401,100,106.702,90.689,87.247,125.006,134.745,144.33,146.596
"331313/US",101.293,89.436,85.462,98.388,91.17,87.437,90.921,107.453,118.27,142.864,146.377,153.509,110.901,115.178,125.973,112.29,103.581,105.162,95.907,87.516,100,104.537,93.808,91.403,128.291,138.562,139.229,143.168
"33131B/US",83.223,79.746,76.824,82.426,81.09,77.309,77.648,80.673,86.848,98.849,104.123,105.402,85.619,96.103,104.655,98.921,96.353,98.897,95.569,91.376,100,111.729,107.786,96.093,111.177,119.602,106.921,109.255
"331410/US",59.482,48.269,46.525,49.966,46.316,44.718,45.99,59.009,73.811,111.074,124.301,120.223,91.203,110.667,127.799,117.744,109.962,104.147,93.709,92.476,100,101.725,100.774,105.012,120.319,122.453,121.575,125.618
"331420/US",50.336,43.313,42.498,45.782,43.565,41.927,42.865,55.074,64.793,105.358,112.19,110.74,93.872,112.286,124.281,114.005,108.179,104.472,94.36,86.708,100,105.368,102.317,104.04,131.233,133.978,131.394,139.953
"331490/US",65.292,63.107,61.596,64.188,63.651,62.826,62.748,70.672,84.496,106.608,119.174,111.911,99.988,109.574,123.76,117.606,111.977,106.623,98.936,96.42,100,106.697,108.709,107.024,118.829,128.543,129.907,136.53
"331510/US",58.827,59.08,59.398,60.332,60.596,60.894,61.371,65.328,71.471,74.613,77.135,88.284,85.232,89.774,95.587,99.197,99.8,100.576,100.019,99.315,100,102.193,104.513,105.441,113.523,127.176,130.929,132.11
"331520/US",87.562,85.041,83.762,84.921,84.651,84.457,85.477,87.405,89.335,95.987,97.169,102.016,91.595,97.737,102.76,101.539,100.98,102.307,100.8,97.515,100,102.606,99.469,96.978,101.016,112.234,113.808,114.089
"332114/US",88.519,91.78,91.472,85.41,78.81,78.819,79.408,95.707,103.909,103.624,101.336,114.898,108.099,114.537,117.263,114.345,110.533,107.46,100.342,96.841,100,102.781,99.116,94.455,144.406,183.581,148.338,137.463
"33211A/US",81.922,83.421,83.022,82.939,82.618,81.844,81.368,83.154,88.364,91.286,93.773,98.968,97.725,97.69,101.293,101.661,100.892,101.689,100.811,99.921,100,100.624,99.71,99.058,106.704,120.876,123.041,124.264
"332119/US",67.006,67.14,66.874,67.025,67.135,67.356,67.95,73.917,77.919,80.649,84.991,92.206,90.696,91.256,96.039,95.802,96.207,96.82,96.515,96.841,100,103.515,104.749,105.234,121.439,133.248,134.878,136.938
"332200/US",72.751,73.577,74.096,75.325,76.305,76.742,77.257,78.55,81.937,83.987,86.019,88.877,91.577,92.407,93.718,95.632,97.164,98.331,99.066,99.635,100,101.186,103.498,104.787,108.4,117.612,123.339,126.66
"332310/US",63.645,65.365,66.176,67.338,67.165,66.732,66.1,76.22,82.185,85.384,89.107,101.756,94.619,92.036,97.505,99.207,99.197,100.097,98.812,96.275,100,109.983,112.619,110.326,138.481,170.452,171.174,168.375
"332320/US",63.51,63.937,64.13,65.04,65.29,65.836,66.823,73.638,77.561,80.955,83.473,89.448,88.738,89.584,94.378,95.381,94.814,95.891,97.531,97.794,100,105.602,108.372,109.256,126.098,153.69,157.29,159.726
"332410/US",57.492,58.385,58.914,59.582,60.241,60.957,61.245,65.943,74.125,79.545,82.212,86.96,86.166,86.745,89.839,92.588,93.888,94.862,97.43,98.809,100,105.329,109.77,111.761,123.358,141.166,150.711,162.195
"332420/US",71.756,72.871,73.812,74.552,75.203,75.872,76.062,83.422,92.287,96.184,100.818,109.921,109.332,106.712,106.422,108.697,109.071,111.538,110.885,107.531,100,107.78,114.502,114.823,140.935,163.456,170.029,187.98
"332430/US",71.879,71.765,70.633,71.069,70.751,71.543,72.865,77.324,82.498,84.866,89.324,96.469,104.394,104.947,101.718,101.88,102.099,101.146,100.831,97.134,100,106.881,108.934,108.625,120.463,153.352,151.551,149.469
"332500/US",68.39,68.834,69.398,70.681,71.677,72.17,72.467,75.117,77.896,80.593,83.529,88.727,89.991,90.444,93.754,95.061,95.034,96.689,98.171,98.21,100,102.083,104.792,106.497,118.798,137.33,140.759,139.133
"332600/US",66.954,67.176,66.578,66.724,66.837,67.147,67.797,80.162,84.378,85.818,86.627,97.737,95.914,95.337,98.641,100.275,100.33,100.798,100.588,99.415,100,110.475,114.464,113.839,131.815,165.483,174.951,175.125
"332710/US",72.445,73.165,73.495,74.108,75.186,75.097,75.477,77.945,81.527,83.692,86.147,91.951,94.442,94.35,97.005,98.762,99.004,99.131,99.303,99.504,100,102.273,104.035,104.703,108.045,115.797,121.156,123.147
"332720/US",72.891,73.24,72.853,73.198,73.332,73.35,73.414,75.415,80.245,84.665,90.413,94.81,93.801,94.399,96.879,97.951,99.053,99.608,99.782,99.621,100,102.159,105.369,107.631,114.74,131.189,141.778,146.892
"332800/US",69.569,70.009,71.018,71.307,72.975,73.41,73.7,75.537,77.298,81.858,86.071,89.831,89.665,92.336,95.075,95.476,95.251,96.862,97.617,98.2,100,102.537,103.028,104.141,110.836,122.804,131.567,137.108
"332913/US",68.652,68.998,69.701,71.272,70.667,70.517,71.248,73.218,75.616,78.876,83.752,87.397,87.55,88.01,91.277,93.36,94.967,96.498,98.019,97.97,100,103.318,108.948,111.155,114.365,125.379,128.4,130.513
"33291A/US",55.887,56.813,57.718,58.537,59.362,59.935,60.778,63.065,67.344,72.073,76.902,80.74,83.48,84.494,88.312,91.772,93.658,95.641,96.819,98.233,100,103.138,106.493,108.386,113.874,128.114,139.238,144.269
"332991/US",64.514,65.243,65.767,66.575,66.973,67.346,67.969,69.642,73.451,76.731,80.056,84.962,88.378,89.781,92.945,95.741,97.452,98.677,99.12,99.154,100,103.298,107.598,108.943,113.473,122.47,126.438,129.421
"332996/US",55.354,54.908,53.348,54.986,55.418,55.249,55.785,66.439,73.201,77.086,75.337,80.386,86.817,90.358,95.533,99.625,100.03,101.028,100.668,99.435,100,103.969,105.216,104.943,123.898,140.692,144.182,146.343
"33299A/US",59.645,60.779,63.412,64.778,64.999,65.591,66.28,68.052,69.598,71.203,74.361,83.972,84.248,86.405,93.136,93.031,99.313,99.804,98.641,97.552,100,100.818,102.445,100.18,105.105,113.65,114.086,118.942
"332999/US",71.481,71.549,71.454,72.323,72.631,72.521,72.944,75.908,79.796,84.645,86.937,91.139,94.505,95.805,98.29,99.086,98.925,100.09,100.022,98.299,100,104.25,107.735,108.401,121.851,135.171,136.91,138.946
"333111/US",65.813,66.741,67.614,67.871,69.421,70.464,71.461,73.826,77.529,79.391,81.736,85.21,87.989,89.542,92.251,94.125,95.042,96.899,97.85,98.949,100,101.518,104.367,106.078,111.387,127.251,133.681,135.495
"333112/US",87.304,87.367,87.704,88.039,88.907,89.541,89.584,90.31,90.728,91.289,93.019,95.397,96.651,96.764,96.796,98.509,98.656,99.226,99.497,99.472,100,101.138,102.758,104.016,106.946,118.45,123.567,125.038
"333120/US",64.419,65.376,66.514,67.307,67.7,68.638,69.551,72.006,75.979,78.981,81.029,83.818,86.583,86.749,89.53,92.819,95.141,96.573,97.662,98.993,100,100.868,105.583,107.311,111.985,123.824,134.786,139.346
"333130/US",57.742,58.898,59.43,60.209,62.247,63.133,64.596,67.146,72.636,78.213,83.296,89.788,91.935,91.785,94.3,97.033,98.596,100.027,100.336,100.029,100,101.308,103.92,104.577,107.641,119.449,127.64,134.45
"333242/US",117.056,117.536,119,118.475,117.912,113.778,112.815,112.871,112.833,113.37,114.205,113.329,109.512,103.889,104.793,103.395,99.697,99.715,99.831,99.998,100,101.227,103.52,105.542,105.356,110.009,115.946,121.586
"33329A/US",71.808,72.907,73.736,74.752,75.516,75.568,76.031,78.233,80.602,82.948,85.46,88.587,90.015,90.48,92.269,93.88,95.214,96.612,97.526,98.419,100,102.032,104.112,107.416,118.409,133.388,140.608,144.641
"333314/US",88.555,89.165,88.872,89.551,90.045,89.887,88.659,89.204,91.349,92.465,92.595,95.804,96.623,95.952,97.242,99.623,99.865,99.888,99.839,99.524,100,101.109,101.835,102.716,103.521,107.998,111.938,115.145
"333316/US",133.156,120.392,116.307,113.26,111.411,105.67,103.136,100.987,99.833,97.651,98.769,99.956,101.364,101.245,103.461,105.029,105.983,107.353,105.892,100.754,100,100.804,103.129,107.694,111.897,118.843,121.04,127.186
"333318/US",71.099,71.487,72.283,72.832,73.417,74.076,74.705,76.43,79.108,81.044,83.474,86.534,88.807,89.629,90.985,92.382,94.037,96.389,97.803,98.493,100,101.511,103.61,105.143,108.592,120.103,125.21,126.495
"333414/US",63.368,63.995,64.472,65.151,65.75,66.148,67.136,69.298,72.582,74.954,77.676,82.455,85.882,86.639,88.773,91.406,92.889,94.544,96.858,98.653,100,102.698,106.109,108.24,114.605,133.34,145.217,148.734
"333415/US",69.35,70.233,70.728,70.539,70.477,70.656,70.859,71.94,75.98,78.539,82.803,86.244,86.871,86.689,89.67,91.812,93.806,95.803,97.353,98.24,100,103.641,107.972,110.069,119.567,146.803,155.373,158.726
"333413/US",67.693,68.531,69.165,70.195,71.122,71.462,72.751,74.856,79.686,82.151,84.628,88.269,88.227,88.01,90.967,92.683,93.606,96.032,98.509,98.981,100,103.575,107.654,109.823,115.837,129.748,136.877,138.401
"333511/US",100.003,100.241,100.751,101.071,98.339,96.204,93.809,92.839,95.48,97.681,97.652,97.959,97.485,97.084,97.842,98.779,99.418,99.956,100.08,99.773,100,101.103,101.639,100.05,102.503,109.681,116.311,121.364
"333514/US",84.512,85.209,86.008,87.15,88.692,88.716,88.815,89.708,91.215,91.776,92.617,94.324,93.809,93.776,96.506,97.939,99.036,99.415,99.412,99.069,100,103.275,107.129,106.226,110.197,119.598,124.697,129.654
"333517/US",74.304,76.013,76.608,77.348,77.067,75.43,75.278,76.126,78.483,82.048,83.185,85.707,87.306,87.828,89.762,92.977,96.166,97.567,98.855,99.22,100,101.039,103.319,105.262,108.161,113.81,118.728,120.992
"33351B/US",72.27,73.557,74.476,75.571,77.115,77.469,77.829,79.701,82.74,85.403,86.899,89.251,90.248,90.643,93.424,95.032,95.653,97.121,98.961,99.532,100,102.574,105.098,105.935,107.564,117.022,125.631,129.42
"333611/US",70.79,70.938,71.949,72.501,73.155,74.212,74.731,75.37,76.131,78.512,82.328,91.184,98.467,97.636,98.953,98.312,100.209,102.858,103.167,102.925,100,100.438,105.104,107.764,110.179,115.954,121.228,125.524
"333612/US",59.131,60.316,61.489,62.769,64.022,64.671,65.42,67.621,71.385,74.172,78.157,83.652,86.233,86.009,90.623,94.116,97.076,98.094,98.633,98.753,100,103.995,106.703,107.99,112.648,126.138,136.104,138.968
"333613/US",60.939,62.029,63.333,64.046,65.131,66.071,66.571,69.533,73.101,75.883,78.32,83.577,88.369,88.979,91.758,94.471,97.153,97.541,99.111,99.022,100,102.418,106.293,108.73,114.338,129.815,139.151,145.317
"333618/US",81.723,82.005,83.253,83.753,83.838,84.211,85.172,86.363,88.4,91.231,92.678,94.605,97.923,97.229,98.772,99.688,99.861,100.498,101.393,98.941,100,101.332,102.127,103.134,104.1,110.491,117.138,121.023
"333912/US",59.645,60.285,60.913,61.53,62.69,63.735,64.269,65.654,70.033,72.469,75.136,79.577,83.069,83.848,88.602,91.167,94.211,96.491,97.542,98.231,100,103.688,107.378,110.096,114.834,134.479,146.652,153.297
"333914/US",57.553,58.429,59.328,60.168,61.474,62.647,63.441,65.453,69.165,72.395,76.605,80.543,82.746,83.534,84.638,86.582,88.939,91.397,94.397,97.132,100,102.865,105.769,107.155,111.345,124.31,134.022,139.802
"333920/US",63.574,64.264,64.954,65.681,66.461,66.664,67.039,69.752,73.916,76.463,78.836,82.837,85.175,85.587,87.581,90.872,92.831,94.84,96.752,98.143,100,102.834,106.115,107.899,115.017,130.918,138.97,143.283
"333991/US",78.408,79.369,79.887,79.944,81.294,81.532,81.73,82.704,84.239,84.583,86.075,88.27,89.106,89.185,89.588,90.916,92.176,93.656,95.871,98.702,100,102.527,104.34,105.737,112.144,125.103,135.624,140.114
"333993/US",59.041,60.202,61.373,63.03,64.102,64.752,65.507,66.775,68.423,69.879,70.933,76.725,81.465,83.573,85.48,87.813,89.633,93.048,97.095,97.809,100,102.665,104.07,103.588,106.78,119.681,131.308,138.123
"333994/US",70.323,71.392,72.129,73.328,74.128,74.617,75.297,76.253,78.39,80.953,83.471,87.536,88.943,89.893,91.611,93.376,94.751,96.308,98.442,99.292,100,101.833,104.582,107.323,113.009,126.404,134.149,139.65
"33399A/US",65.661,66.405,67.414,68.242,68.852,69.718,69.865,71.758,74.123,76.686,79.805,83.598,86.237,87.346,90.689,93.38,95.415,97.364,98.242,99.658,100,102.367,105.532,106.705,112.098,123.043,130.229,134.146
"33399B/US",64.773,65.537,66.662,67.296,68.314,68.796,69.818,71.99,75.155,78.297,80.988,85.845,88.467,89.824,92.198,94.833,96.203,97.437,98.222,98.335,100,102.825,105.778,108.2,113.027,126.941,134.646,139.448
"334111/US",2162.794,1497.748,1067.724,892.014,675.534,550.994,462.41,414.206,338.4,264.381,208.77,167.287,140.886,128.27,119.263,115.382,109.512,106.599,104.553,101.099,100,100.728,98.851,98.913,101.258,107.267,107.418,109.338
"334112/US",322.582,291.508,263.512,240.12,219.456,185.077,163.178,147.319,138.438,129.353,125.505,118.096,108.457,101.26,100.993,109.244,103.76,102.231,100.079,99.595,100,99.226,98.596,100.774,102.777,107.275,107.115,106.228
"334118/US",280.84,233.785,194.657,179.98,162.3,151.315,141.7,136.415,129.089,121.548,117.573,115.393,114.077,112.498,112.259,112.45,113.379,114.662,108.981,100.25,100,99.349,95.186,93.207,92.901,95.396,96.552,97.455
"334210/US",877.541,757.123,651.557,609.046,533.681,460.247,386.996,331.468,288.223,258.894,229.715,213.793,193.425,175.711,160.994,148.236,135.758,126.203,117.864,108.473,100,92.542,87.8,85.103,85.514,87.588,93.524,94.681
"334220/US",585.751,579.45,571.689,557.306,555.308,530.328,412.318,358.585,357.661,331.307,307.804,245.673,210.41,180.339,174.725,159.96,151.763,136.927,120.911,106.301,100,93.247,87.185,83.592,80.042,78.959,78.639,80.174
"334290/US",85.214,85.902,85.431,85.362,85.907,86.344,86.751,86.955,87.309,88.559,89.192,90.635,91.316,92.264,94.351,95.642,96.729,97.824,99.177,99.049,100,100.202,100.927,102.763,107.05,116.498,121.765,126.555
"334413/US",1022.52,655.229,475.683,324.286,224.808,217.379,198.313,184.579,179.676,169.553,148.443,134.423,128.051,124.137,115.401,107.828,106.622,104.814,103.958,100.632,100,97.138,93.974,92.383,90.366,93.274,95.083,94.65
"334418/US",136.033,132.815,128.96,128.202,116.038,114.135,114.351,112.312,107.955,105.335,101.967,98.522,100.219,98.582,97.254,96.566,97.496,99.586,99.848,100.168,100,99.709,99.49,98.985,100.135,101.565,90.068,91.423
