"","2023IndustryOutput"
"322130/US",29946863148.2794
"322210/US",67117274387.7021
"322220/US",18913306855.8587
"322230/US",4063110534.0319
"322291/US",11352794295.4848
"322299/US",5291889312.57591
"323110/US",62516747418.4254
"323120/US",2428055102.18552
"324110/US",424762195382.317
"324121/US",13471896677.2746
"324122/US",10253962153.1806
"324190/US",17157686934.3546
"325110/US",51436921480.3499
"325120/US",9367552226.10108
"325130/US",4393164906.85672
"325180/US",27614786565.5021
"325190/US",108196145893.894
"325211/US",93077588956.096
"3252A0/US",12635572791.3887
"325411/US",18487631872.5976
"325412/US",196842646150.882
"325413/US",23763037360.1751
"325414/US",41814586781.0363
"325310/US",20524619539.4782
"325320/US",15960347132.0489
"325510/US",22620194861.713
"325520/US",15491921629.4624
"325610/US",35220198252.9668
"325620/US",35597312122.8222
"325910/US",3703009904.42596
"3259A0/US",40308026884.9523
"326110/US",38568782461.7185
"326120/US",17234823821.9254
"326130/US",3204934262.9597
"326140/US",6933781679.92931
"326150/US",10840398879.0694
"326160/US",13158816092.333
"326190/US",94618645019.0092
"326210/US",16879619690.7001
"326220/US",5554355054.03361
"326290/US",14796117265.7175
"423100/US",153425849353.182
"423400/US",210431197544.439
"423600/US",230428349076.827
"423800/US",189888569298.63
"423A00/US",295849058329.369
"424200/US",262761429515.31
"424400/US",185783554142.592
"424700/US",166164867375.501
"424A00/US",371382479119.996
"425000/US",51022522349.6911
"4200ID/US",48407239175.0377
"441000/US",363064262684.82
"445000/US",253490969775.848
"452000/US",231936456727.102
"444000/US",137535849956.291
"446000/US",145119932881.195
"447000/US",104017045682.155
"448000/US",156397871805.812
"454000/US",540660480631.577
"4B0000/US",224143625684.002
"481000/US",260955146630.748
"482000/US",72631571079.5184
"483000/US",53032622100.9565
"484000/US",380838460240.556
"485000/US",136984332384.816
"486000/US",51269659672.272
"48A000/US",170706126756.323
"492000/US",105613017528.382
"493000/US",131739092571.226
"511110/US",18859092156.4292
"511120/US",28059018916.4066
"511130/US",31161942858.2541
"5111A0/US",8837629705.15449
"511200/US",527945812815.389
"512100/US",165065701492.088
"512200/US",32557960477.451
"515100/US",129264754725.072
"515200/US",122238931138.564
"517110/US",300958653408.042
"517210/US",321166267185.039
"517A00/US",53621158685.3485
"518200/US",400588552398.802
"519130/US",400175079036.23
"5191A0/US",11384778051.4619
"522A00/US",351286591561.897
"52A000/US",670587883632.987
"523900/US",427565630444.258
"523A00/US",278342186961.506
"524113/US",115108908384.534
"5241XX/US",639913697600.168
"524200/US",522303616598.482
"525000/US",163629799971.885
"531HSO/US",1756187641125.41
"531HST/US",547614711388.77
"531ORE/US",1675515883007.52
"532100/US",83032312851.5033
"532400/US",118751202730.437
"532A00/US",30999600840.0448
"533000/US",309669242277.078
"541100/US",349454819582.227
"541511/US",278599191924.788
"541512/US",402163950614.599
"54151A/US",76751247087.8947
"541200/US",205570946277.252
"541300/US",396611329807.883
"541610/US",391455012887.132
"5416A0/US",83332869595.4583
"541700/US",412960512773.44
"541800/US",194642974527.991
"541400/US",56611943186.7079
"541920/US",16439847392.7806
"541940/US",53744909902.3707
"5419A0/US",125328659273.435
"550000/US",774062847526.35
"561300/US",436485361955.536
"561700/US",269925334759.546
"561100/US",94243800823.1127
"561200/US",29470863326.9459
"561400/US",87828126185.0176
"561500/US",83960271862.925
"561600/US",63241985010.9213
"561900/US",72403488115.104
"562111/US",51144130796.5667
"562HAZ/US",18216804556.1395
"562212/US",9772704209.68746
"562213/US",1591307759.92695
"562910/US",20381265956.402
"562920/US",7200259296.09587
"562OTH/US",13825260708.259
"611100/US",54508194903.0738
"611A00/US",214484645693.538
"611B00/US",109796371368.421
"621100/US",609506154530.624
"621200/US",142717071845.491
"621300/US",153433999256.392
"621400/US",202744038972.079
"621500/US",72621869722.4907
"621600/US",108936506601.632
"621900/US",44178574523.5694
"622000/US",964349322060.426
"623A00/US",194253277401.977
"623B00/US",60185008795.3157
"624100/US",145944061088.741
"624400/US",64082343648.5676
"624A00/US",55099547400.3681
"711100/US",31702954130.5726
"711200/US",62339608108.0846
"711500/US",54287637019.8349
"711A00/US",79389312003.5312
"712000/US",22973640921.525
"713100/US",29926937903.813
"713200/US",44093880075.4074
"713900/US",110969120758.26
"721000/US",302993052855.975
"722110/US",446806106026.319
"722211/US",408065434924.719
"722A00/US",129018576060.753
"811100/US",153877726844.208
"811200/US",19732297661.0475
"811300/US",40612831173.1792
"811400/US",27682724082.7346
"812100/US",86523980026.9098
"812200/US",23961549316.2517
"812300/US",28822159962.574
"812900/US",98165475065.5718
"813100/US",92529701993.2899
"813A00/US",79919339634.2413
"813B00/US",112351605354.605
"814000/US",19769280863.3361
"S00500/US",674034305065.981
"S00600/US",489179295219.564
"491000/US",60227367526.9421
"S00102/US",8316470514.56866
"GSLGE/US",1158464249250.73
"GSLGH/US",361607444033.995
"GSLGO/US",997081740607.745
"S00203/US",287674278244.889
"NA",NA
"NA.1",NA
"NA.2",NA
"NA.3",NA
