MetaSources,ActivityProducedBy,IPCC/UNFCCC Category,US GHGI Table Name,Activity Category,Activity Subcategory,Activity Type,IPCC Category Code
EPA_GHGI_T_2_1.carbonate_use,,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Carbonate Use,2A4
EPA_GHGI_T_2_1.direct,Abandoned Oil and Gas Wells,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuel Production & Distribution,Oil and Gas,1B2avii;1B2bviii
EPA_GHGI_T_2_1.direct,Abandoned Underground Coal Mines,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuel Production & Distribution,Coal Production & Distribution,1B1ai3
EPA_GHGI_T_2_1.direct,Adipic Acid Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2B3
EPA_GHGI_T_2_1.direct,Aluminum Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production Processes,2C3
EPA_GHGI_T_2_1.direct,Ammonia Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2B1
EPA_GHGI_T_2_1.direct,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2B4
EPA_GHGI_T_2_1.direct,Carbide Production and Consumption,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Ceramics Production and Consumption,2B5
EPA_GHGI_T_2_1.direct,Cement Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Cement Production,2A1
EPA_GHGI_T_2_1.direct,Coal Mining,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuel Production & Distribution,Coal Production & Distribution,1B1a
EPA_GHGI_T_2_1.direct,Composting,Waste,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Waste,Composting,4B
EPA_GHGI_T_2_1.direct,Ferroalloy Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production Processes,2C2
EPA_GHGI_T_2_1.direct,Glass Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Glass Production,2A3
EPA_GHGI_T_2_1.direct,Incineration of Waste,Energy,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Electric Power Generation,Waste,Incineration of Waste,4C1
EPA_GHGI_T_2_1.direct,Iron and Steel Production & Metallurgical Coke Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production Processes,2C1
EPA_GHGI_T_2_1.direct,Landfills,Waste,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Waste,Landfills,4A
EPA_GHGI_T_2_1.direct,Lime Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2A2
EPA_GHGI_T_2_1.direct,Nitric Acid Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2B2
EPA_GHGI_T_2_1.direct,Phosphoric Acid Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2B11
EPA_GHGI_T_2_1.direct,Rice Cultivation,Agriculture,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Rice Cultivation,3C7
EPA_GHGI_T_2_1.direct,Soda Ash Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production,2B7
EPA_GHGI_T_2_1.direct,Titanium Dioxide Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production Processes,2B6
EPA_GHGI_T_2_1.direct,Wastewater Treatment,Waste,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Waste,Wastewater Treatment,4D
