"","2023"
"333994/US",3.538e+09
"33399A/US",2.699e+10
"33399B/US",1.3056e+10
"334111/US",2.6448e+10
"334112/US",7.088e+09
"334118/US",7.814e+09
"334210/US",7.205e+09
"334220/US",3.6406e+10
"334290/US",4.783e+09
"334413/US",7.5849e+10
"334418/US",2.6203e+10
"33441A/US",3.268e+10
"334510/US",3.9315e+10
"334511/US",5.2504e+10
"334512/US",2.624e+09
"334513/US",1.437e+10
"334514/US",5.431e+09
"334515/US",1.3124e+10
"334516/US",1.8302e+10
"334517/US",7.799e+09
"33451A/US",1.4878e+10
"334300/US",5.005e+09
"334610/US",1.562e+09
"335110/US",9.76e+08
"335120/US",1.4922e+10
"335210/US",2.977e+09
"335220/US",2.3268e+10
"335311/US",9.702e+09
"335312/US",1.5369e+10
"335313/US",1.6193e+10
"335314/US",1.1046e+10
"335911/US",3.1002e+10
"335912/US",9.91e+09
"335920/US",1.3608e+10
"335930/US",1.7299e+10
"335991/US",3.755e+09
"335999/US",1.6694e+10
"336111/US",3.632e+10
"336112/US",3.52291e+11
"336120/US",4.0107e+10
"336211/US",1.8818e+10
"336212/US",1.5199e+10
"336213/US",7.642e+09
"336214/US",2.801e+10
"336310/US",3.8904e+10
"336320/US",2.9046e+10
"336350/US",4.983e+10
"336360/US",3.1063e+10
"336370/US",4.4347e+10
"336390/US",6.5073e+10
"3363A0/US",2.9604e+10
"336411/US",1.22993e+11
"336412/US",7.1151e+10
"336413/US",4.1589e+10
"336414/US",2.3588e+10
"33641A/US",2.1823e+10
"336500/US",1.1776e+10
"336611/US",3.1405e+10
"336612/US",1.6019e+10
"336991/US",5.985e+09
"336992/US",6.558e+09
"336999/US",1.0496e+10
"337110/US",1.9402e+10
"337121/US",1.3357e+10
"337122/US",4.051e+09
"337127/US",5.15e+09
"33712N/US",3.622e+09
"337215/US",9.229e+09
"33721A/US",1.7953e+10
"337900/US",1.0831e+10
"339112/US",4.3508e+10
"339113/US",3.7798e+10
"339114/US",5.905e+09
"339115/US",8.656e+09
"339116/US",6.938e+09
"339910/US",9.072e+09
"339920/US",1.1155e+10
"339930/US",1.584e+09
"339940/US",3.009e+09
"339950/US",1.5366e+10
"339990/US",3.2415e+10
"311111/US",2.823e+10
"311119/US",4.8994e+10
"311210/US",2.2772e+10
"311221/US",1.7632e+10
"311225/US",1.884e+10
"311224/US",5.3045e+10
"311230/US",1.0709e+10
"311300/US",4.2798e+10
"311410/US",4.4444e+10
"311420/US",3.8231e+10
"311513/US",6.7182e+10
"311514/US",2.9923e+10
"31151A/US",5.9947e+10
"311520/US",8.831e+09
"311615/US",8.538e+10
"31161A/US",2.07375e+11
"311700/US",1.4468e+10
"311810/US",5.2416e+10
"3118A0/US",3.4148e+10
"311910/US",4.3669e+10
"311920/US",1.6344e+10
"311930/US",1.2296e+10
"311940/US",2.9865e+10
"311990/US",4.2581e+10
"312110/US",5.1556e+10
"312120/US",3.3528e+10
"312130/US",2.6114e+10
"312140/US",2.5232e+10
"312200/US",6.4143e+10
"313100/US",6.31e+09
"313200/US",1.2346e+10
"313300/US",6.627e+09
"314110/US",8.638e+09
"314120/US",3.258e+09
"314900/US",1.0101e+10
"315000/US",1.0433e+10
"316000/US",9.385e+09
"322110/US",7.654e+09
"322120/US",3.2031e+10
"322130/US",3.9693e+10
"322210/US",8.5981e+10
"322220/US",2.5134e+10
"322230/US",5.956e+09
"322291/US",1.3906e+10
"322299/US",7.13e+09
"323110/US",8.1612e+10
"323120/US",2.968e+09
"324110/US",6.65911e+11
"324121/US",1.8251e+10
"324122/US",1.5217e+10
"324190/US",2.6177e+10
"325110/US",7.3941e+10
"325120/US",1.3464e+10
"325130/US",6.202e+09
"325180/US",4.0243e+10
"325190/US",1.48787e+11
"325211/US",1.13321e+11
"3252A0/US",1.5182e+10
"325411/US",2.0294e+10
"325412/US",2.23573e+11
"325413/US",2.7085e+10
"325414/US",4.9218e+10
"325310/US",2.9674e+10
"325320/US",2.0038e+10
"325510/US",3.3892e+10
"325520/US",1.9291e+10
"325610/US",4.4822e+10
"325620/US",4.0862e+10
"325910/US",4.566e+09
"3259A0/US",4.8962e+10
"326110/US",4.9014e+10
"326120/US",2.7577e+10
"326130/US",4.221e+09
"326140/US",1.1608e+10
"326150/US",1.3257e+10
"326160/US",1.6356e+10
"326190/US",1.26036e+11
"326210/US",2.2254e+10
"326220/US",6.94e+09
"326290/US",1.881e+10
"423100/US",2.13812e+11
"423400/US",2.56879e+11
"423600/US",3.36946e+11
"423800/US",2.74052e+11
"423A00/US",4.16817e+11
"424200/US",3.14787e+11
"424400/US",2.40194e+11
"424700/US",2.06788e+11
"424A00/US",4.55637e+11
"425000/US",6.649e+10
"4200ID/US",8.1633e+10
"441000/US",5.41207e+11
"445000/US",3.426e+11
"452000/US",3.01206e+11
"444000/US",1.99995e+11
"446000/US",1.52258e+11
"447000/US",1.53445e+11
"448000/US",1.75054e+11
"454000/US",6.23551e+11
"4B0000/US",2.63747e+11
"481000/US",3.1102e+11
"482000/US",9.22e+10
"483000/US",7.1827e+10
"484000/US",5.28292e+11
"485000/US",1.45634e+11
"486000/US",7.1395e+10
"48A000/US",1.97514e+11
"492000/US",1.52666e+11
"493000/US",1.8062e+11
"511110/US",2.3465e+10
"511120/US",2.9074e+10
"511130/US",3.8033e+10
"5111A0/US",9.275e+09
"511200/US",4.96096e+11
"512100/US",1.71314e+11
"512200/US",3.085e+10
"515100/US",1.19298e+11
"515200/US",1.12808e+11
"517110/US",3.37152e+11
"517210/US",3.15743e+11
"517A00/US",5.8451e+10
"518200/US",3.78157e+11
"519130/US",4.03782e+11
"5191A0/US",1.3311e+10
"522A00/US",4.0452e+11
"52A000/US",9.68721e+11
"523900/US",5.14633e+11
"523A00/US",3.13422e+11
"524113/US",1.18218e+11
"5241XX/US",7.57204e+11
"524200/US",5.45811e+11
"525000/US",2.22201e+11
"531HSO/US",2.247727e+12
"531HST/US",7.1316e+11
"531ORE/US",1.967887e+12
"532100/US",9.99e+10
"532400/US",1.38799e+11
"532A00/US",3.8241e+10
"533000/US",3.72935e+11
"541100/US",4.46201e+11
"541511/US",2.71953e+11
"541512/US",3.65656e+11
"54151A/US",7.1977e+10
"541200/US",2.39947e+11
"541300/US",4.59576e+11
"541610/US",3.82683e+11
"5416A0/US",8.4063e+10
"541700/US",4.76022e+11
"541800/US",2.01443e+11
"541400/US",5.9421e+10
"541920/US",1.7983e+10
"541940/US",7.166e+10
"5419A0/US",1.46798e+11
"550000/US",7.86533e+11
"561300/US",4.97035e+11
"561700/US",3.31474e+11
"561100/US",9.9076e+10
"561200/US",3.4945e+10
"561400/US",9.9455e+10
"561500/US",9.1044e+10
"561600/US",8.3786e+10
"561900/US",8.8837e+10
"562111/US",69327726728.2344
"562HAZ/US",24693540166.9681
"562212/US",13247255477.662
"562213/US",2157075461.10336
"562910/US",27627546203.1268
"562920/US",9760212972.19257
"562OTH/US",18740642990.7128
"611100/US",6.676e+10
"611A00/US",2.5728e+11
"611B00/US",1.24594e+11
"621100/US",6.57584e+11
"621200/US",1.73357e+11
"621300/US",1.66486e+11
"621400/US",2.33464e+11
"621500/US",7.0963e+10
"621600/US",1.3131e+11
"621900/US",4.9321e+10
"622000/US",1.160822e+12
"623A00/US",2.40573e+11
"623B00/US",7.6306e+10
"624100/US",1.8539e+11
"624400/US",7.9882e+10
"624A00/US",6.8748e+10
"711100/US",3.731e+10
"711200/US",6.7842e+10
"711500/US",6.4331e+10
"711A00/US",9.0796e+10
"712000/US",2.8124e+10
"713100/US",3.8569e+10
"713200/US",5.5905e+10
"713900/US",1.42921e+11
"721000/US",3.76933e+11
"722110/US",5.81879e+11
"722211/US",5.48993e+11
"722A00/US",1.63948e+11
"811100/US",2.14837e+11
"811200/US",2.5919e+10
"811300/US",5.8233e+10
"811400/US",3.7243e+10
"812100/US",1.1237e+11
"812200/US",2.8018e+10
"812300/US",3.8189e+10
"812900/US",1.29211e+11
"813100/US",1.17212e+11
"813A00/US",9.7496e+10
"813B00/US",1.39513e+11
"814000/US",2.55e+10
"S00500/US",8.27977e+11
"S00600/US",5.93306e+11
"491000/US",7.9414e+10
"S00101/US",2.0718e+10
"S00102/US",1.0203e+10
"GSLGE/US",1.406978e+12
"GSLGH/US",4.39523e+11
"GSLGO/US",1.291171e+12
"S00201/US",1.3913e+10
"S00202/US",8.1574e+10
"S00203/US",3.69917e+11
