"","2023"
"1111A0/US",5.957e+10
"1111B0/US",9.6996e+10
"111200/US",2.6e+10
"111300/US",3.0045e+10
"111400/US",3.0868e+10
"111900/US",3.3804e+10
"112120/US",4.7274e+10
"1121A0/US",1.34266e+11
"112300/US",6.7361e+10
"112A00/US",4.3787e+10
"113000/US",2.6659e+10
"114000/US",9.448e+09
"115000/US",3.1923e+10
"211000/US",4.67668e+11
"212100/US",4.9386e+10
"212230/US",1.7022e+10
"2122A0/US",2.2478e+10
"212310/US",2.6852e+10
"2123A0/US",2.552e+10
"213111/US",2.0442e+10
"21311A/US",9.5153e+10
"221100/US",5.07462e+11
"221200/US",1.18194e+11
"221300/US",2.008e+10
"233210/US",7.0788e+10
"233262/US",1.34285e+11
"230301/US",2.81291e+11
"230302/US",9.3655e+10
"2332A0/US",2.6019e+11
"233412/US",1.35682e+11
"2334A0/US",3.7846e+11
"233230/US",1.84549e+11
"2332D0/US",1.46406e+11
"233240/US",1.45139e+11
"233411/US",3.78686e+11
"2332C0/US",1.79913e+11
"321100/US",4.9198e+10
"321200/US",3.9305e+10
"321910/US",3.8552e+10
"3219A0/US",4.6271e+10
"327100/US",1.0331e+10
"327200/US",3.3336e+10
"327310/US",1.2333e+10
"327320/US",4.401e+10
"327330/US",8.842e+09
"327390/US",1.8374e+10
"327400/US",1.2368e+10
"327910/US",3.914e+09
"327991/US",7.309e+09
"327992/US",5.899e+09
"327993/US",1.1374e+10
"327999/US",5.266e+09
"331110/US",1.30849e+11
"331200/US",4.1401e+10
"331314/US",8.17e+09
"331313/US",2.333e+09
"33131B/US",3.6399e+10
"331410/US",1.085e+10
"331420/US",3.1859e+10
"331490/US",1.3089e+10
"331510/US",1.9905e+10
"331520/US",1.2876e+10
"332114/US",7.19e+09
"33211A/US",1.2012e+10
"332119/US",1.5284e+10
"332200/US",1.0436e+10
"332310/US",7.5074e+10
"332320/US",6.3198e+10
"332410/US",6.076e+09
"332420/US",1.0309e+10
"332430/US",2.6281e+10
"332500/US",1.0574e+10
"332600/US",1.0677e+10
"332710/US",4.5622e+10
"332720/US",3.3831e+10
"332800/US",3.2278e+10
"332913/US",6.308e+09
"33291A/US",3.1269e+10
"332991/US",5.901e+09
"332996/US",7.506e+09
"33299A/US",2.4713e+10
"332999/US",2.0597e+10
"333111/US",3.3032e+10
"333112/US",1.1103e+10
"333120/US",4.205e+10
"333130/US",1.7962e+10
"333242/US",1.2829e+10
"33329A/US",2.6796e+10
"333314/US",7.23e+09
"333316/US",1.35e+09
"333318/US",2.1159e+10
"333414/US",6.919e+09
"333415/US",4.1994e+10
"333413/US",9.306e+09
"333511/US",6.604e+09
"333514/US",9.468e+09
"333517/US",9.323e+09
"33351B/US",8.935e+09
"333611/US",1.1679e+10
"333612/US",4.801e+09
"333613/US",5.904e+09
"333618/US",3.2531e+10
"333912/US",9.311e+09
"333914/US",1.6725e+10
"333920/US",4.0951e+10
"333991/US",2.884e+09
"333993/US",8.941e+09
