"NAICS_Code","BEA_Code","Location","allocation_factor"
"111","1111A0","US",0.214834663502631
"1111","1111A0","US",0.380478520240665
"111","1111B0","US",0.349808679219426
"1111","1111B0","US",0.619521479759335
"111","111200","US",0.093767017812127
"111","111300","US",0.108355001929437
"111","111400","US",0.111323088685567
"111","111900","US",0.121911548850813
"112","112120","US",0.161516700377193
"1121","112120","US",0.260405420293048
"112","1121A0","US",0.458734215273602
"1121","1121A0","US",0.739594579706952
"112","112300","US",0.230146094134368
"112","112A00","US",0.149602990214836
"212","212100","US",0.349615596992737
"212","212230","US",0.120502909569723
"2122","212230","US",0.43093670886076
"212","2122A0","US",0.159127270667856
"2122","2122A0","US",0.56906329113924
"212","212310","US",0.190091888601
"2123","212310","US",0.512716718857405
"212","2123A0","US",0.180662334168684
"2123","2123A0","US",0.487283281142595
"213","213111","US",0.176841558890955
"2131","213111","US",0.176841558890955
"21311","213111","US",0.176841558890955
"213","21311A","US",0.823158441109044
"2131","21311A","US",0.823158441109044
"21311","21311A","US",0.823158441109044
"221","221100","US",0.785866050522195
"221","221200","US",0.183037650061325
"221","221300","US",0.0310962994164798
"236","230301","US",0.136284927460959
"23811","230301","US",0.12733106366259
"23835","230301","US",0.12733106366259
"2381","230301","US",0.12733106366259
"23816","230301","US",0.12733106366259
"238310","230301","US",0.12733106366259
"238120","230301","US",0.12733106366259
"23819","230301","US",0.12733106366259
"2362","230301","US",0.261056752194181
"238330","230301","US",0.12733106366259
"238140","230301","US",0.12733106366259
"238210","230301","US",0.12733106366259
"238110","230301","US",0.12733106366259
"238350","230301","US",0.12733106366259
"23621","230301","US",0.603836081057874
"238160","230301","US",0.12733106366259
"23832","230301","US",0.12733106366259
"23813","230301","US",0.12733106366259
"238190","230301","US",0.12733106366259
"238","230301","US",0.12733106366259
"23834","230301","US",0.12733106366259
"238220","230301","US",0.12733106366259
"23822","230301","US",0.12733106366259
"23812","230301","US",0.12733106366259
"23839","230301","US",0.12733106366259
"23833","230301","US",0.12733106366259
"23817","230301","US",0.12733106366259
"23821","230301","US",0.12733106366259
"238130","230301","US",0.12733106366259
"236210","230301","US",0.603836081057874
"238320","230301","US",0.12733106366259
"23622","230301","US",0.376785872153923
"23829","230301","US",0.12733106366259
"238150","230301","US",0.12733106366259
"238910","230301","US",0.12733106366259
"236220","230301","US",0.376785872153923
"238390","230301","US",0.12733106366259
"238170","230301","US",0.12733106366259
"2389","230301","US",0.12733106366259
"23814","230301","US",0.12733106366259
"23899","230301","US",0.12733106366259
"2383","230301","US",0.12733106366259
"238990","230301","US",0.12733106366259
"238290","230301","US",0.12733106366259
"23891","230301","US",0.12733106366259
"238340","230301","US",0.12733106366259
"23815","230301","US",0.12733106366259
"23831","230301","US",0.12733106366259
"2382","230301","US",0.12733106366259
"23819","230302","US",0.0423944981080796
"238120","230302","US",0.0423944981080796
"23822","230302","US",0.0423944981080796
"238210","230302","US",0.0423944981080796
"238140","230302","US",0.0423944981080796
"236","230302","US",0.0453756603707766
"23821","230302","US",0.0423944981080796
"23899","230302","US",0.0423944981080796
"2381","230302","US",0.0423944981080796
"238190","230302","US",0.0423944981080796
"23832","230302","US",0.0423944981080796
"23891","230302","US",0.0423944981080796
"238310","230302","US",0.0423944981080796
"2389","230302","US",0.0423944981080796
"23834","230302","US",0.0423944981080796
"23812","230302","US",0.0423944981080796
