"","2023IndustryOutput"
"333112/US",8985408725.63063
"333120/US",31197602124.8498
"333130/US",14072391099.9687
"333242/US",11064633536.3014
"33329A/US",19057237141.5567
"333314/US",6458932623.41653
"333316/US",1115333773.95902
"333318/US",16898809999.2013
"333414/US",4764593677.04883
"333415/US",27027861983.7424
"333413/US",6798804766.32305
"333511/US",5677880853.91751
"333514/US",7592804959.22115
"333517/US",7852402129.23658
"33351B/US",7112098128.64659
"333611/US",9633912957.40258
"333612/US",3527449597.36672
"333613/US",4242872850.35681
"333618/US",27771517355.5977
"333912/US",6349043995.30862
"333914/US",12479294444.1957
"333920/US",29467510973.5914
"333991/US",2126467291.92473
"333993/US",6809181466.47577
"333994/US",2637365914.02098
"33399A/US",20725030523.1554
"33399B/US",9696537587.45154
"334111/US",24621571803.6083
"334112/US",6617187135.32185
"334118/US",8093048305.57627
"334210/US",7703904880.03079
"334220/US",46295095308.9434
"334290/US",3928058144.78709
"334413/US",79771357655.9427
"334418/US",29092463472.0433
"33441A/US",25178553542.9492
"334510/US",39095284501.1038
"334511/US",41831856714.8958
"334512/US",2051843453.1024
"334513/US",11440171960.8311
"334514/US",3980212532.06303
"334515/US",12215758365.5233
"334516/US",15129370918.4095
"334517/US",8425885911.84097
"33451A/US",11859705061.7776
"334300/US",4165314291.89657
"334610/US",1340128350.32088
"335110/US",1032421854.33966
"335120/US",11281810896.2243
"335210/US",2410799604.8135
"335220/US",17565262029.5019
"335311/US",5533754648.53642
"335312/US",11124783751.1129
"335313/US",10949280213.1299
"335314/US",8484587791.5953
"335911/US",23971977792.5552
"335912/US",7665591472.70632
"335920/US",9237724782.59984
"335930/US",10535001979.2333
"335991/US",2658708243.05762
"335999/US",12410511838.8284
"336111/US",33639908490.5573
"336112/US",311211130742.049
"336120/US",35420512050.5868
"336211/US",14623304969.4992
"336212/US",9382677943.08291
"336213/US",6603871413.75735
"336214/US",19573587885.4795
"336310/US",35485342138.3877
"336320/US",25788179308.0181
"336350/US",44170049816.5121
"336360/US",28914911243.7051
"336370/US",37817763185.9464
"336390/US",54589153139.5495
"3363A0/US",25445231382.7959
"336411/US",107494450173.924
"336412/US",63437619807.5946
"336413/US",37098917959.3767
"336414/US",21366522641.0138
"33641A/US",18570553295.7775
"336500/US",9988549132.70283
"336611/US",27920767432.1429
"336612/US",11447866790.5381
"336991/US",5423209706.50332
"336992/US",5750664246.44201
"336999/US",8607864846.02452
"337110/US",15868290408.8526
"337121/US",9871844143.55821
"337122/US",3211994830.36132
"337127/US",3548909485.5804
"33712N/US",2885940799.17135
"337215/US",6223112297.87865
"33721A/US",13570429721.4558
"337900/US",7908437077.87229
"339112/US",40475570274.9972
"339113/US",33031259011.981
"339114/US",4704317137.09838
"339115/US",7271383209.28748
"339116/US",5461444000.12595
"339910/US",7298177868.95137
"339920/US",9061075957.07869
"339930/US",1266703452.24672
"339940/US",2494363021.42052
"339950/US",12076675809.7094
"339990/US",25374770049.7084
"311111/US",20441560886.5975
"311119/US",34561230248.307
"311210/US",15865341071.3913
"311221/US",11376364621.7772
"311225/US",12970918704.5605
"311224/US",39264961693.623
"311230/US",8371573080.26047
"311300/US",32810236045.4152
"311410/US",34219806279.7395
"311420/US",27539384684.0941
"311513/US",59738573715.0987
"311514/US",26992431691.278
"31151A/US",49428187432.4915
"311520/US",7165634813.0898
"311615/US",77593492979.5065
"31161A/US",156723524210.431
"311700/US",11636211555.7843
"311810/US",37491416800.1831
"3118A0/US",27360206395.3721
"311910/US",35046507708.4821
"311920/US",12829086798.8508
"311930/US",8890817064.35286
"311940/US",23864889485.5444
"311990/US",34260771613.63
"312110/US",36852037169.4067
"312120/US",31240274684.8299
"312130/US",22383748339.262
"312140/US",25968732953.9022
"312200/US",45205189826.1366
"313100/US",4824786096.05224
"313200/US",9712465090.66593
"313300/US",4634233327.03967
"314110/US",7609634053.94929
"314120/US",2965241688.13084
"314900/US",8038037639.7565
"315000/US",9181877387.21771
"316000/US",9017362145.33471
"322110/US",6062238133.33122
"322120/US",25345592948.0839
"322130/US",29922429194.9673
"322210/US",67123886551.1777
"322220/US",18921360495.054
"322230/US",3974508691.73534
"322291/US",11666596753.2195
"322299/US",5262031454.10667
"323110/US",62072270096.3652
"323120/US",2519118308.59199
"324110/US",418362013180.793
"324121/US",13486492078.5056
"324122/US",10256254717.9985
"324190/US",17127285099.2554
"325110/US",54154154887.2841
"325120/US",9266919492.6045
"325130/US",4390703206.30358
"325180/US",27259179982.524
"325190/US",109370842184.962
"325211/US",94896788510.6561
"3252A0/US",13066079143.5014
"325411/US",18572683676.8313
"325412/US",196968468905.001
"325413/US",23761690032.1092
"325414/US",41671323342.6467
"325310/US",20466803691.3909
"325320/US",15968187939.7866
"325510/US",22539669872.1786
"325520/US",15523332072.6477
"325610/US",35217210248.8352
"325620/US",35657440050.2635
"325910/US",3696327958.03381
"3259A0/US",40382696193.6575
"326110/US",38550293763.7149
"326120/US",17122828368.125
"326130/US",3204159866.39845
"326140/US",6864820750.58843
"326150/US",10891032171.1413
"326160/US",13226482075.9981
"326190/US",94716907399.3357
"326210/US",16879550970.8738
"326220/US",5564509016.26857
"326290/US",14807758919.2934
"423100/US",152683595646.834
"423400/US",209345101299.04
"423600/US",229646138327.745
"423800/US",188875028429.258
"423A00/US",295669414218.225
"424200/US",262543474090.693
"424400/US",185675855351.649
"424700/US",169324872057.318
"424A00/US",371866608992.304
"425000/US",51022522349.6911
"4200ID/US",48407239175.0377
"441000/US",362802499095.017
"445000/US",253175782029.397
"452000/US",231479688292.525
"444000/US",137345053737.596
"446000/US",146349856301.124
"447000/US",104009354029.689
"448000/US",156401551024.784
"454000/US",540680846636.087
"4B0000/US",222382819966.984
"481000/US",260953467689.158
"482000/US",72630451222.5863
"483000/US",52949849245.4903
"484000/US",380528844422.355
"485000/US",137490441169.529
"486000/US",51208945696.0672
"48A000/US",174693754809.266
"492000/US",104934461498.278
"493000/US",131550389290.683
"511110/US",18857689340.3626
"511120/US",28062352203.079
"511130/US",31051149120.3004
"5111A0/US",9022110249.70088
"511200/US",526943258343.424
"512100/US",164993113809.941
"512200/US",32591356159.6078
"515100/US",129331540946.64
"515200/US",122237392453.893
"517110/US",297369860113.955
"517210/US",321314595078.664
"517A00/US",53934025374.8558
"518200/US",401717745790.62
"519130/US",400426426545.548
"5191A0/US",11739648101.6007
"522A00/US",355988137248.863
"52A000/US",666025658654.639
"523900/US",428878703279.303
"523A00/US",283342373616.837
"524113/US",115108908384.534
"5241XX/US",640125116239.75
"524200/US",523916528283.051
"525000/US",162228403714.736
"531HSO/US",1756187641125.41
"531HST/US",547493839197.292
"531ORE/US",1678654781199.35
"532100/US",79119939175.0618
"532400/US",119786488539.078
"532A00/US",31721843866.9111
"533000/US",309471648949.854
"541100/US",349440833268.071
"541511/US",298076417203.735
"541512/US",404048708258.746
"54151A/US",78991439859.5259
"541200/US",203607188921.322
"541300/US",397949535008.572
"541610/US",397316153949.978
"5416A0/US",84663262531.3472
"541700/US",404450448613.377
"541800/US",192080973358.506
"541400/US",56890510110.2941
"541920/US",16445358939.1861
"541940/US",53744731276.3436
"5419A0/US",125314143276.651
"550000/US",774062847526.35
"561300/US",435182509871.906
"561700/US",269965142038.051
"561100/US",94253967045.9302
"561200/US",28913619063.3791
"561400/US",89499923508.1846
"561500/US",83960271862.925
"561600/US",63108499981.1697
"561900/US",72443121585.2565
"562111/US",50891699622.8579
"562HAZ/US",18126892198.9695
"562212/US",9724469247.913
"562213/US",1583453570.61307
"562910/US",20280670505.7234
"562920/US",7164721104.77631
"562OTH/US",13757023615.6921
"611100/US",54441961737.3151
"611A00/US",216034662277.903
"611B00/US",110308986277.114
"621100/US",609506154530.624
"621200/US",142717071845.491
"621300/US",153433419042.089
"621400/US",203028063065.805
"621500/US",72714697051.9823
"621600/US",109065991112.588
"621900/US",44359799971.2189
"622000/US",966924608298.002
"623A00/US",194305075436.953
"623B00/US",60184878456.6119
"624100/US",145954542233.839
"624400/US",64291865528.0928
"624A00/US",55143980107.4838
"711100/US",30936212200.3599
"711200/US",62995152933.311
"711500/US",54291887147.5471
"711A00/US",80280108577.441
"712000/US",23130762334.7891
"713100/US",29907491412.1323
"713200/US",43994396921.4546
"713900/US",111117071729.564
"721000/US",300999784391.545
"722110/US",446168060912.304
"722211/US",407397815310.635
"722A00/US",127106252665.039
"811100/US",157669274464.619
"811200/US",19133072999.3282
"811300/US",39941151052.4908
"811400/US",25241448487.6006
"812100/US",86522987841.9687
"812200/US",23961549316.2517
"812300/US",28816014849.8042
"812900/US",97252035947.0729
"813100/US",92529701993.2899
"813A00/US",79919339634.2413
"813B00/US",112337447963.218
"814000/US",19769280863.3361
"S00500/US",674034305065.981
"S00600/US",489179295219.564
"491000/US",60227367526.9421
"S00101/US",16513629842.1808
"S00102/US",8250582222.79726
"GSLGE/US",1158464249250.73
"GSLGH/US",361607444033.995
"GSLGO/US",997081740607.745
"S00201/US",12889807111.4899
"S00202/US",65974895668.2087
"S00203/US",287850750914.326
