"","2023IndustryOutput"
"1111A0/US",40174807960.7761
"1111B0/US",56380894807.5123
"111200/US",18978379246.4124
"111300/US",25502279035.4205
"111400/US",20734730068.3142
"111900/US",21936831995.4314
"112120/US",41077821417.3995
"1121A0/US",101306070094.692
"112300/US",46193356374.808
"112A00/US",33468367588.7213
"113000/US",23682784475.0238
"114000/US",7977775713.71877
"115000/US",26006941049.956
"211000/US",391334326309.976
"212100/US",32766937147.9376
"212230/US",12579908507.0689
"2122A0/US",14439612254.206
"212310/US",19729465617.4459
"2123A0/US",19781412293.6207
"213111/US",24179983676.5593
"21311A/US",87746332106.8599
"221100/US",405376794643.118
"221200/US",82343925259.6891
"221300/US",15379312985.8691
"233210/US",47932395739.5232
"233262/US",91716582543.8998
"230301/US",206155548715.243
"230302/US",72582207652.306
"2332A0/US",164713702402.431
"233412/US",102560962704.28
"2334A0/US",268598032675.193
"233230/US",117078075734.795
"2332D0/US",102514441760.319
"233240/US",116516678039.578
"233411/US",251881364612.918
"2332C0/US",135133734423.939
"321100/US",47555894947.4641
"321200/US",24879574126.0025
"321910/US",27494134175.825
"3219A0/US",31646513282.0836
"327100/US",7955858117.5782
"327200/US",25851479620.3238
"327310/US",9104331071.95323
"327320/US",31541603956.1385
"327330/US",6132824692.21432
"327390/US",12175791552.3571
"327400/US",8250943975.23649
"327910/US",2958763276.25959
"327991/US",5196476434.91429
"327992/US",4965237445.92024
"327993/US",7950343554.93734
"327999/US",4383474981.89507
"331110/US",95026071547.8801
"331200/US",29219628905.5608
"331314/US",5660638813.82942
"331313/US",1675656651.99061
"33131B/US",34042891480.6259
"331410/US",8924532181.78079
"331420/US",24246921472.8222
"331490/US",10075669517.424
"331510/US",15202896226.1989
"331520/US",11313791649.0932
"332114/US",4847038520.13645
"33211A/US",9762599458.71701
"332119/US",11331722000.6228
"332200/US",8461232862.2739
"332310/US",43858296236.578
"332320/US",40179286667.9382
"332410/US",4031557086.07865
"332420/US",6063083356.36862
"332430/US",17341357034.9255
"332500/US",7512130663.04819
"332600/US",6102851655.60643
"332710/US",37655584535.64
"332720/US",23861953194.4307
"332800/US",24533507642.4939
"332913/US",4912772585.66978
"33291A/US",22457231502.8943
"332991/US",4667109571.48958
"332996/US",5205920295.18248
"33299A/US",21661728871.2024
"332999/US",15044189613.6148
"333111/US",24709569796.755
