Row ID,USEEIO Sector Name,USEEIO Sector Code,NAICS Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
21,Grain farming,1111B0,11113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,45181183.24673313,0.0007806279285174527,265.0,,11973013.56038428,0.08840823074443001,Detail_Use_2022
22,Grain farming,1111B0,11113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,9202039.156674089,0.0001589902753494262,265.0,,2438540.376518633,0.01800608002317749,Detail_Use_2022
23,Grain farming,1111B0,11113,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1716032608.5317357,0.02964913453353149,1.0,,1716032.6085317356,0.012671112920310645,Detail_Use_2022
24,Grain farming,1111B0,11113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,2785625.0450569266,4.812925541754944e-05,265.0,,738190.6369400856,0.005450768750476736,USDA_CoA_Cropland
25,Grain farming,1111B0,11113,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,548562568.4056914,0.009477911614183133,1.0,,548562.5684056914,0.004050563033339703,Detail_Use_2022
26,Grain farming,1111B0,11113,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,257948.01321500557,4.456754089896085e-06,265.0,,68356.22350197648,0.000504739491833216,Detail_Use_2022
27,Grain farming,1111B0,11113,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,221935.78501580577,3.834544818684228e-06,28.0,,6214.201980442561,4.588540719583274e-05,Detail_Use_2022
28,Grain farming,1111B0,11113,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,7846.035837317726,1.3556162682396983e-07,265.0,,2079.1994968891972,1.53527220158584e-05,Detail_Use_2022
29,Grain farming,1111B0,11113,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,49504.748682374,8.553292906177476e-07,28.0,,1386.1329631064718,1.023514775346536e-05,Detail_Use_2022
30,Grain farming,1111B0,11114,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,45181183.24673313,0.0007806279285174527,265.0,,11973013.56038428,0.08840823074443001,Detail_Use_2022
