Row ID,USEEIO Sector Name,USEEIO Sector Code,NAICS Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
2545,Aluminum product manufacturing from purchased aluminum,33131B,331318,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride,2527.7586353570227,9.374220787528362e-08,23500.0,,59402.32793089003,0.010046658955161755,BEA_Detail_GrossOutput_IO
2546,Aluminum product manufacturing from purchased aluminum,33131B,331318,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,32407183.659638047,0.0012018239814440218,1.0,,32407.18365963805,0.005480996002454075,Detail_Use_2022
2547,Aluminum product manufacturing from purchased aluminum,33131B,331318,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,6796368.352788587,0.00025204407019427356,1.0,,6796.368352788587,0.0011494632845628673,EIA_MECS_Energy
2548,Aluminum product manufacturing from purchased aluminum,33131B,331318,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2979613.1730266595,0.00011049928325706136,1.0,,2979.6131730266598,0.000503939128488928,EIA_MECS_Energy
2549,Aluminum product manufacturing from purchased aluminum,33131B,331318,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,28634.311762458732,1.0619066108829495e-06,28.0,,801.7607293488445,0.0001356010259527366,EIA_MECS_Energy
2550,Aluminum product manufacturing from purchased aluminum,33131B,331318,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,2017.0081748152804,7.48009706959125e-08,265.0,,534.5071663260494,9.040068623935625e-05,EIA_MECS_Energy
2551,Aluminum product manufacturing from purchased aluminum,33131B,331318,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,148.171965448613,5.49497368620853e-09,265.0,,39.26557084388244,6.640948472712814e-06,Detail_Use_2022
2552,Aluminum product manufacturing from purchased aluminum,33131B,331318,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,934.8945204174125,3.467066643491239e-08,28.0,,26.17704657168755,4.4272988705947945e-06,Detail_Use_2022
2553,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,1283823298.2235498,0.1251411734305049,1.0,,1283823.2982235497,0.9233585457989151,EIA_MECS_Energy
2554,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride,2513.9181728580625,2.4504514795380273e-07,23500.0,,59077.07706216447,0.042489744532328975,BEA_Detail_GrossOutput_IO
2555,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,21604789.106425367,0.0021059351892411897,1.0,,21604.789106425367,0.015538716799426311,Detail_Use_2022
2556,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,13938411.669367911,0.0013586520781136476,1.0,,13938.411669367912,0.010024862103361773,EIA_MECS_Energy
2557,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2979613.1730266595,0.00029043894853559405,1.0,,2979.6131730266598,0.0021430139882148464,EIA_MECS_Energy
2558,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified",,,1.0,2784354.5640018447,2784.3545640018447,0.0020025790034834214,Detail_Use_2022
2559,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2091190.2623964883,0.00020383958108943252,1.0,,2091.1902623964884,0.0015040375122862477,EIA_MECS_Energy
2560,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,355.0857827857145,3.4612124260231456e-08,3170.0,,1125.621931430715,0.0008095760773023848,Detail_Use_2022
2561,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,580.8507138884237,5.661864839540147e-08,1300.0,,755.1059280549508,0.0005430914929007244,Detail_Use_2022
2562,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,26949.940482314098,2.626955890663232e-06,28.0,,754.5983335047947,0.0005427264179201284,EIA_MECS_Energy
2563,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,1898.3606351202636,1.8504343845601556e-07,265.0,,503.06556830686986,0.0003618176210356107,EIA_MECS_Energy
2564,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,97.05880737557243,9.460844855792224e-09,4800.0,,465.88227540274767,0.00033507444593396443,Detail_Use_2022
2565,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,264208.8272410509,2.5753857806906218e-05,1.0,,264.20882724105087,0.000190025744856091,Detail_Use_2022
2566,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,242.47182766271433,2.3635035350688598e-08,677.0,,164.15342732765762,0.0001180633426382801,Detail_Use_2022
2567,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,98.78131029907533,9.628746495669688e-09,265.0,,26.177047229254963,1.8827201762392043e-05,Detail_Use_2022
2568,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,623.2630136116084,6.075280374418641e-08,28.0,,17.451364381125032,1.2551467526301828e-05,Detail_Use_2022
2569,Nonferrous metal (except aluminum) smelting and refining,331410,331410,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,1.1637914196557377,1.1344101955899578e-10,8060.0,,9.380158842425246,6.746450107339026e-06,Detail_Use_2022
2570,"Copper rolling, drawing, extruding and alloying",331420,33142,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Zinc Production,,Carbon dioxide,Carbon dioxide,900000000.0,0.04102283604539861,1.0,,900000.0,0.457116091419969,Direct
2571,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,811305000.9607153,0.036980035596914866,1.0,,811305.0009607153,0.4120673010984849,EIA_MECS_Energy
2572,"Copper rolling, drawing, extruding and alloying",331420,33142,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride,5059.986586729336,2.3063888904368183e-07,23500.0,,118909.68478813939,0.06039503371370536,BEA_Detail_GrossOutput_IO
2573,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,102148645.51979624,0.004656030152686824,1.0,,102148.64551979624,0.05188198842650354,EIA_MECS_Energy
2574,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,24305387.744728535,0.001107862151635377,1.0,,24305.387744728534,0.01234487094035236,Detail_Use_2022
2575,"Copper rolling, drawing, extruding and alloying",331420,33142,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Carbonate Use,Other Process Uses of Carbonates,,Carbon dioxide,Carbon dioxide,4449863.147517525,0.00020282889591674756,1.0,,4449.863147517524,0.0022601156103855243,Detail_Use_2022
2576,"Copper rolling, drawing, extruding and alloying",331420,33142,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,3476215.368531103,0.00015844912569082923,1.0,,3476.2153685311027,0.0017655933135521831,EIA_MECS_Energy
2577,"Copper rolling, drawing, extruding and alloying",331420,33142,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2352589.0451960494,0.00010723319409253154,1.0,,2352.5890451960495,0.0011948958989527276,EIA_MECS_Energy
2578,"Copper rolling, drawing, extruding and alloying",331420,33142,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Urea Consumption,Urea Consumption for Non-Agricultural Purposes,,Carbon dioxide,Carbon dioxide,1074034.845609937,4.895550597611273e-05,1.0,,1074.034845609937,0.000545509567415627,Detail_Use_2022
2579,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,17030.865165906824,7.762826549025399e-07,28.0,,476.86422464539106,0.00024220256723101691,EIA_MECS_Energy
2580,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,1199.6584569162778,5.468154687616928e-08,265.0,,317.90949108281364,0.00016146838221009697,EIA_MECS_Energy
2581,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,111.12897408645975,5.065361870935765e-09,265.0,,29.449178132911836,1.49574368929412e-05,Detail_Use_2022
2582,"Copper rolling, drawing, extruding and alloying",331420,33142,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,701.1708903130594,3.196002052568756e-08,28.0,,19.632784928765666,9.97162434480693e-06,Detail_Use_2022
2583,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,1274907858.6525528,0.09071494653853372,1.0,,1274907.8586525528,0.6631890341919431,EIA_MECS_Energy
2584,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Lead Production,,Carbon dioxide,Carbon dioxide,400000000.0,0.028461647929415114,1.0,,400000.0,0.2080743419035368,USGS_MYB_Lead
2585,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,162681176.19819403,0.01157543590424036,1.0,,162681.17619819404,0.08462444669383135,EIA_MECS_Energy
2586,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride,2152.0477471039912,1.5312706326341193e-07,23500.0,,50573.122056943794,0.026307422725014556,BEA_Detail_GrossOutput_IO
2587,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,24305387.744728535,0.001729428471945961,1.0,,24305.387744728534,0.012643318899236696,Detail_Use_2022
2588,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,5462624.150548876,0.00038868821335910603,1.0,,5462.624150548876,0.0028415798129795603,EIA_MECS_Energy
2589,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2352589.0451960494,0.00016739640281742205,1.0,,2352.5890451960495,0.001223783543371595,EIA_MECS_Energy
2590,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Carbonate Use,Other Process Uses of Carbonates,,Carbon dioxide,Carbon dioxide,809066.0268213681,5.756838101760126e-05,1.0,,809.0660268213682,0.0004208647027184136,Detail_Use_2022
2591,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,26762.788117853583,1.904282632549707e-06,28.0,,749.3580672999003,0.0003898054667588325,EIA_MECS_Energy
2592,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,1885.1775751541509,1.3413815107116485e-07,265.0,,499.57205741585,0.00025987031770049725,EIA_MECS_Energy
2593,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,111.12897408645975,7.907284338014783e-09,265.0,,29.449178132911836,1.5319045899014143e-05,Detail_Use_2022
2594,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,33149,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,701.1708903130594,4.98911975461121e-08,28.0,,19.632784928765666,1.0212697009466479e-05,Detail_Use_2022
2595,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,1378222070.1517518,0.08050362559297615,1.0,,1378222.0701517519,0.667720227533148,EIA_MECS_Energy
2596,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,571474878.4440843,0.033380541965191836,1.0,,571474.8784440843,0.2768678169709957,EIA_MECS_Energy
2597,Ferrous metal foundries,331510,33151,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride,2655.494570503679,1.551106641649345e-07,23500.0,,62404.12240683646,0.03023351295478186,BEA_Detail_GrossOutput_IO
2598,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,32407183.659638047,0.0018929429707732505,1.0,,32407.18365963805,0.015700613504570738,Detail_Use_2022
2599,Ferrous metal foundries,331510,33151,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,13592736.705577174,0.0007939682655126854,1.0,,13592.736705577174,0.006585401179105205,EIA_MECS_Energy
2600,Ferrous metal foundries,331510,33151,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,4381784.077980382,0.0002559453316577326,1.0,,4381.784077980383,0.002122884203434672,EIA_MECS_Energy
2601,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,28931.553753072487,1.6899272052028322e-06,28.0,,810.0835050860296,0.0003924687857286568,EIA_MECS_Energy
2602,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,2037.9459759379301,1.1903890046366415e-07,265.0,,540.0556836235515,0.00026164586372498186,EIA_MECS_Energy
2603,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Nitrous oxide,Nitrous oxide,434.74481566820276,2.539397287781558e-08,265.0,,115.20737615207373,5.581560264035644e-05,EIA_MECS_Energy
2604,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Methane,Methane,2057.274522465438,1.201679043496167e-07,28.0,,57.60368662903227,2.7907800619134275e-05,EIA_MECS_Energy
2605,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,148.171965448613,8.654904523867582e-09,265.0,,39.26557084388244,1.9023360941542097e-05,Detail_Use_2022
2606,Ferrous metal foundries,331510,33151,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,934.8945204174125,5.4608324790736715e-08,28.0,,26.17704657168755,1.2682240309116854e-05,Detail_Use_2022
2607,Nonferrous metal foundries,331520,33152,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,2152291999.96301,0.16830559899616906,1.0,,2152291.9999630097,0.9434731521152924,EIA_MECS_Energy
2608,Nonferrous metal foundries,331520,33152,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,51311374.12776025,0.004012462787594639,1.0,,51311.374127760246,0.022492721196063097,Detail_Use_2022
2609,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride,1995.0450006314084,1.560091492517523e-07,23500.0,,46883.5575148381,0.020551754962460075,BEA_Detail_GrossOutput_IO
2610,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,20389105.058365762,0.0015943935766629467,1.0,,20389.105058365763,0.008937715337211126,EIA_MECS_Energy
2611,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,7536668.614126257,0.0005893547555619531,1.0,,7536.668614126256,0.003303754552793161,EIA_MECS_Energy
2612,Nonferrous metal foundries,331520,33152,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,45180.78257329128,3.533060883116303e-06,28.0,,1265.061912052156,0.0005545492664589002,EIA_MECS_Energy
2613,Nonferrous metal foundries,331520,33152,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,3182.5457706427956,2.4886970367866716e-07,265.0,,843.3746292203409,0.0003696995202594519,EIA_MECS_Energy
2614,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified",,,1.0,309372.7293335383,309.37272933353825,0.00013561582913835157,Detail_Use_2022
2615,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,39.45397586507939,3.0852342715889423e-09,3170.0,,125.06910349230166,5.4824968594476755e-05,Detail_Use_2022
2616,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,64.53896820982484,5.0468383023009735e-09,1300.0,,83.90065867277231,3.677847564545618e-05,Detail_Use_2022
2617,Nonferrous metal foundries,331520,33152,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,234.60561196030395,1.8345762586823894e-08,265.0,,62.170487169480545,2.7252893891414938e-05,Detail_Use_2022
2618,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,10.78431193061916,8.43314977370907e-10,4800.0,,51.764697266971964,2.2691438754408446e-05,Detail_Use_2022
2619,Nonferrous metal foundries,331520,33152,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,1480.24965732757,1.1575302293772052e-07,28.0,,41.44699040517197,1.816859547121484e-05,Detail_Use_2022
2620,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,29356.536360116766,2.2956315577194843e-06,1.0,,29.356536360116767,1.2868655319697593e-05,Detail_Use_2022
2621,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,26.941314184746034,2.1067652631174565e-09,677.0,,18.239269703073063,7.995319073497018e-06,Detail_Use_2022
2622,Nonferrous metal foundries,331520,33152,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,0.12931015773952642,1.0111835919575103e-11,8060.0,,1.0422398713805832,4.568735732551975e-07,Detail_Use_2022
2623,Custom roll forming,332114,332114,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,529963139.85946375,0.0780505360617767,1.0,,529963.1398594638,0.8647415650734411,EIA_MECS_Energy
2624,Custom roll forming,332114,332114,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,78697079.92828816,0.011590144319335517,1.0,,78697.07992828816,0.12841013071577745,Detail_Use_2022
2625,Custom roll forming,332114,332114,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified",,,1.0,1545474.1131448958,1545.4741131448957,0.0025217521802286154,Detail_Use_2022
2626,Custom roll forming,332114,332114,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,197.09267358981,2.902690332692342e-08,3170.0,,624.7837752796977,0.0010194605228792516,Detail_Use_2022
2627,Custom roll forming,332114,332114,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,428001.4815002585,6.303409153170228e-05,1.0,,428.0014815002585,0.0006983705905743395,EIA_MECS_Energy
2628,Custom roll forming,332114,332114,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,322.40496721296756,4.7482322122675634e-08,1300.0,,419.1264573768578,0.0006838892018261158,Detail_Use_2022
2629,Custom roll forming,332114,332114,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,11124.953953395128,1.6384320991745402e-06,28.0,,311.49871069506355,0.0005082728634226129,EIA_MECS_Energy
2630,Custom roll forming,332114,332114,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,53.87312240725271,7.934185921539427e-09,4800.0,,258.590987554813,0.00042194326071683786,Detail_Use_2022
2631,Custom roll forming,332114,332114,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,783.6445748928584,1.1541157214916913e-07,265.0,,207.66581234660748,0.0003388485841269515,EIA_MECS_Energy
2632,Custom roll forming,332114,332114,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,146650.82825462517,2.1598060125865267e-05,1.0,,146.65082825462517,0.0002392903528684088,Detail_Use_2022
2633,Custom roll forming,332114,332114,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,359.81840108383193,5.299240074872341e-08,265.0,,95.35187628721546,0.0001555857842399403,Detail_Use_2022
2634,Custom roll forming,332114,332114,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,134.585565238166,1.9821143628595877e-08,677.0,,91.11442766623838,0.00014867153364999603,Detail_Use_2022
2635,Custom roll forming,332114,332114,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,2270.282711713724,3.343568058488548e-07,28.0,,63.567915927984274,0.00010372385355441702,Detail_Use_2022
