Row ID,USEEIO Sector Name,USEEIO Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
1,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,78355666.5598436,0.0020503366799205463,265.0,20764251638.358555,20764.251638358553,0.572594802268853,USDA_CoA_Cropland
2,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,30101142.10673499,0.0007876581041117593,265.0,7976802658.284773,7976.802658284773,0.21996823292299958,Detail_Use_2022
3,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Liming,Liming,,Carbon dioxide,Carbon dioxide,3300174050.632899,0.08635582087693372,1.0,3300174050.632899,3300.174050632899,0.09100556768846425,Detail_Use_2022
4,Oilseed farming,1111A0,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,2121506529.9462225,0.05551356839926268,1.0,2121506529.9462225,2121.5065299462226,0.05850264354254698,Detail_Use_2022
5,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,6130691.328160705,0.00016042210927780785,265.0,1624633201.9625869,1624.6332019625868,0.04480086945771184,Detail_Use_2022
6,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,365469840.3059018,0.009563267749264753,1.0,365469840.3059018,365.4698403059018,0.0100781927800664,Detail_Use_2022
7,Oilseed farming,1111A0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,367732.5193735636,9.622475386580584e-06,265.0,97449117.63399436,97.44911763399436,0.0026872559249779045,Detail_Use_2022
8,Oilseed farming,1111A0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,316393.23112361226,8.279077640873253e-06,28.0,8859010.471461143,8.859010471461144,0.0002442959870430943,Detail_Use_2022
9,Oilseed farming,1111A0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,9699.941702916536,2.538188639029866e-07,265.0,2570484.551272882,2.570484551272882,7.088365711443423e-05,Detail_Use_2022
10,Oilseed farming,1111A0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,61202.0115881503,1.6014761248730977e-06,28.0,1713656.3244682085,1.7136563244682084,4.725577022255789e-05,Detail_Use_2022
11,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,225898025.83998635,0.003903003314557973,265.0,59862976847.59638,59862.97684759638,0.44204115372214997,Detail_Use_2022
12,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,122477971.09418197,0.0021161403485639102,265.0,32456662339.95822,32456.66233995822,0.23966700659159512,USDA_CoA_Cropland
13,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Rice Cultivation,Rice Cultivation,,Methane,Methane,674976423.662912,0.011662055075553958,28.0,18899339862.561535,18899.339862561534,0.13955680852127822,Direct
14,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,46008588.74906145,0.0007949236108549268,265.0,12192276018.501284,12192.276018501283,0.09003040011588744,Detail_Use_2022
15,Grain farming,1111B0,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,8579863356.553206,0.14824049477440834,1.0,8579863356.553206,8579.863356553207,0.06335556460155323,Detail_Use_2022
16,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,2742717041.6462755,0.04738790285853477,1.0,2742717041.6462755,2742.7170416462754,0.02025281516669851,Detail_Use_2022
17,Grain farming,1111B0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,1289695.0183089713,2.228299212669704e-05,265.0,341769179.8518774,341.76917985187737,0.00252369745916608,Detail_Use_2022
18,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Field Burning Of Residues,Maize,,Methane,Methane,3571303.8289042977,6.170399510875113e-05,28.0,99996507.20932034,99.99650720932034,0.0007383958122818958,Direct
19,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Field Burning Of Residues,Rice,,Methane,Methane,3571303.8289042977,6.170399510875113e-05,28.0,99996507.20932034,99.99650720932034,0.0007383958122818958,Direct
20,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Field Burning Of Residues,Wheat,,Methane,Methane,3571303.8289042977,6.170399510875113e-05,28.0,99996507.20932034,99.99650720932034,0.0007383958122818958,Direct
21,Grain farming,1111B0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,1109640.166450116,1.917205443260161e-05,28.0,31069924.66060325,31.069924660603252,0.00022942703597916375,Detail_Use_2022
22,Grain farming,1111B0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,39228.80896325383,6.777844597818485e-07,265.0,10395634.375262266,10.395634375262267,7.676361007929201e-05,Detail_Use_2022
23,Grain farming,1111B0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,247515.0979553319,4.276497079293201e-06,28.0,6930422.742749293,6.930422742749293,5.11757387673268e-05,Detail_Use_2022
24,Vegetable and melon farming,111200,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,48936950.43613795,0.0026023371675691544,265.0,12968291865.576557,12968.291865576557,0.6906728698393825,Detail_Use_2022
25,Vegetable and melon farming,111200,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,9966975.226442775,0.0005300172946792222,265.0,2641248435.007335,2641.248435007335,0.1406691533067366,Detail_Use_2022
26,Vegetable and melon farming,111200,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1516217197.3677814,0.08062840719849941,1.0,1516217197.3677814,1516.2171973677814,0.08075158192464642,Detail_Use_2022
27,Vegetable and melon farming,111200,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,3791216.830195959,0.0002016068508479638,265.0,1004672460.0019292,1004.6724600019292,0.05350743323722029,USDA_CoA_Cropland
28,Vegetable and melon farming,111200,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,594162819.3885537,0.031596002094578766,1.0,594162819.3885537,594.1628193885538,0.03164427080086436,Detail_Use_2022
29,Vegetable and melon farming,111200,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,168324.6220307176,8.951056741862144e-06,265.0,44606024.83814017,44.606024838140165,0.0023756537488844793,Detail_Use_2022
30,Vegetable and melon farming,111200,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,144824.75232998977,7.701396029246997e-06,28.0,4055093.0652397135,4.0550930652397135,0.00021596851720073258,Detail_Use_2022
31,Vegetable and melon farming,111200,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,6932.440798944788,3.6864880611245884e-07,265.0,1837096.811720369,1.837096811720369,9.784117602193371e-05,Detail_Use_2022
32,Vegetable and melon farming,111200,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,43740.399180297594,2.3259983610900076e-06,28.0,1224731.1770483325,1.2247311770483325,6.522744904277564e-05,Detail_Use_2022
33,Fruit and tree nut farming,111300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,32845631.3856675,0.0010966089538484074,265.0,8704092317.201887,8704.092317201887,0.6386811553077365,Detail_Use_2022
34,Fruit and tree nut farming,111300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,6689660.704236867,0.00022334604381132702,265.0,1772760086.6227698,1772.76008662277,0.1300800151177225,Detail_Use_2022
35,Fruit and tree nut farming,111300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,5775345.912221647,0.0001928200424753488,265.0,1530466666.7387364,1530.4666667387364,0.11230122375206014,USDA_CoA_Cropland
36,Fruit and tree nut farming,111300,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1167403390.9856687,0.03897580765844246,1.0,1167403390.9856687,1167.4033909856687,0.08566068916702212,Detail_Use_2022
37,Fruit and tree nut farming,111300,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,398791767.25924164,0.013314361887661648,1.0,398791767.25924164,398.7917672592416,0.029262188101679663,Detail_Use_2022
38,Fruit and tree nut farming,111300,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,181106.3433119885,6.046552594550898e-06,265.0,47993180.97767695,47.99318097767695,0.003521601007509745,Detail_Use_2022
39,Fruit and tree nut farming,111300,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,155822.01224703985,5.202390900341875e-06,28.0,4363016.342917115,4.363016342917115,0.0003201455380951936,Detail_Use_2022
40,Fruit and tree nut farming,111300,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,5337.596032115494,1.782049957303517e-07,265.0,1414462.948510606,1.4144629485106062,0.0001037892059473417,Detail_Use_2022
41,Fruit and tree nut farming,111300,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,33677.688404268985,1.1243886352921003e-06,28.0,942975.2753195316,0.9429752753195315,6.919280222677126e-05,Detail_Use_2022
42,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,30867090.27297846,0.0015536083286178004,265.0,8179778922.339292,8179.778922339292,0.6254070860336146,Detail_Use_2022
43,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,2789120625.7606616,0.14030751806344016,1.0,2789120625.7606616,2789.120625760662,0.21324974913311884,Detail_Use_2022
44,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,6286691.78036809,0.00031642298069096486,265.0,1665973321.7975438,1665.9733217975438,0.12737648908207563,Detail_Use_2022
45,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,374769519.13559544,0.01886297156913607,1.0,374769519.13559544,374.76951913559543,0.02865401560630218,Detail_Use_2022
46,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,202615.40091315092,1.0198077356208522e-05,265.0,53693081.24198499,53.69308124198499,0.004105249518175558,Detail_Use_2022
47,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,174328.1814714767,8.77431958282045e-06,28.0,4881189.0812013475,4.881189081201348,0.00037320449227742664,Detail_Use_2022
48,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,3705388.9268583464,1.7626159740741156e-05,1.0,3705388.9268583464,3.7053889268583466,0.00028330551636779035,Detail_Use_2022
49,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,12754.435029212038,6.41523006139468e-07,265.0,3379925.28274119,3.37992528274119,0.00025842131458071065,Detail_Use_2022
50,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,80686.79213128722,4.048714862708636e-06,28.0,2259230.179676042,2.259230179676042,0.00017273554417120043,Detail_Use_2022
51,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,111.90897147366867,5.323396400629274e-10,3170.0,354751.4395715297,0.35475143957152966,2.7123479276773722e-05,Detail_Use_2022
52,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,1207.557568069326,6.077901993503755e-08,265.0,320002.7555383714,0.3200027555383714,2.4466674804304526e-05,USDA_CoA_Cropland
53,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,183.06113373800451,8.708032676944953e-10,1300.0,237979.47385940587,0.23797947385940588,1.8195363309361854e-05,Detail_Use_2022
54,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,30.589090953314898,1.455092067553427e-10,4800.0,146827.6365759115,0.14682763657591152,1.1226103445089475e-05,Detail_Use_2022
55,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,83268.1553140453,3.960981791259927e-07,1.0,83268.1553140453,0.0832681553140453,6.3664916703468105e-06,Detail_Use_2022
56,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,24.992124166701686,1.1888500276709598e-10,3170.0,79225.03360844434,0.07922503360844434,6.057363882372803e-06,Detail_Use_2022
57,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-125,20.543675922702462,9.772418513232485e-11,3170.0,65123.45267496681,0.0651234526749668,4.979189432451216e-06,Detail_Use_2022
58,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,40.88221457342117,1.9447255304380234e-10,1300.0,53146.878945447526,0.05314687894544753,4.063488146639043e-06,Detail_Use_2022
59,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,76.41751419107132,3.635103733265055e-10,677.0,51734.657107355284,0.05173465710735528,3.955512912469546e-06,Detail_Use_2022
60,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-134a,33.605425517121596,1.5985760469754018e-10,1300.0,43687.05317225807,0.04368705317225807,3.3402116220084553e-06,Detail_Use_2022
61,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,6.831323254826403,3.249591265775733e-11,4800.0,32790.35162316673,0.03279035162316673,2.507074879818088e-06,Detail_Use_2022
62,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-143a,5.6153886774201265,2.6711835056536344e-11,4800.0,26953.86565161661,0.02695386565161661,2.0608305841227057e-06,Detail_Use_2022
63,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,18595.900304833696,8.845881384273548e-08,1.0,18595.900304833696,0.018595900304833695,1.4217997738368755e-06,Detail_Use_2022
64,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Carbon dioxide,Carbon dioxide,15285.941555235368,7.271367539510975e-08,1.0,15285.941555235368,0.015285941555235367,1.1687279394839554e-06,Detail_Use_2022
65,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,17.065977624710037,8.118112664629145e-11,677.0,11553.666851928694,0.011553666851928695,8.833667984759468e-07,Detail_Use_2022
66,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,Natural gas,Natural Gas,Methane,Methane,344.08559230496434,1.6367803040845793e-09,28.0,9634.396584539001,0.009634396584539,7.366238074201604e-07,Detail_Use_2022
67,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-32,14.028335938457538,6.673137288119426e-11,677.0,9497.183430335754,0.009497183430335754,7.261328051876463e-07,Detail_Use_2022
68,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,0.3667809501180457,1.7447398219875544e-12,8060.0,2956.2544579514483,0.002956254457951448,2.2602841759842472e-07,Detail_Use_2022
69,"Greenhouse, nursery, and floriculture production",111400,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Non-Manufacturing,Natural gas,Natural Gas,Nitrous oxide,Nitrous oxide,7.2712428879660695,3.458856578536906e-11,265.0,1926.8793653110085,0.0019268793653110085,1.4732476518483008e-07,Detail_Use_2022
70,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.08191152976048802,3.896448488042965e-13,8060.0,660.2069298695334,0.0006602069298695334,5.0477903633955585e-08,Detail_Use_2022
71,"Greenhouse, nursery, and floriculture production",111400,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-236fa,0.06733176862070404,3.202904021039955e-13,8060.0,542.6940550828746,0.0005426940550828746,4.149313946251275e-08,Detail_Use_2022
72,Other crop farming,111900,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,58650541.56949763,0.0022069818088239937,265.0,15542393515.916872,15542.393515916872,0.46022363551412715,USDA_CoA_Cropland
73,Other crop farming,111900,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,42319119.30412906,0.0015924409898073022,265.0,11214566615.5942,11214.5666155942,0.3320729598860408,Detail_Use_2022
74,Other crop farming,111900,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,4058698834.6833253,0.1527262026221383,1.0,4058698834.6833253,4058.6988346833255,0.12018156220546063,Detail_Use_2022
75,Other crop farming,111900,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,8619123.381207937,0.00032433201810754236,265.0,2284067696.0201035,2284.0676960201035,0.06763320834376245,Detail_Use_2022
76,Other crop farming,111900,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,513813121.0810745,0.019334454226945418,1.0,513813121.0810745,513.8131210810744,0.015214448296951564,Detail_Use_2022
77,Other crop farming,111900,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,517683.8221435799,1.948010619543104e-05,265.0,137186212.86804867,137.18621286804867,0.004062201717122318,Detail_Use_2022
78,Other crop farming,111900,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,445409.7708504256,1.6760480558811876e-05,28.0,12471473.583811916,12.471473583811916,0.0003692910559163466,Detail_Use_2022
79,Other crop farming,111900,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,18557.162813503805,6.982939911008016e-07,265.0,4917648.145578508,4.917648145578508,0.0001456157898344099,Detail_Use_2022
80,Other crop farming,111900,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,117086.85766779025,4.405902452221646e-06,28.0,3278432.014698127,3.2784320146981267,9.707719078436092e-05,Detail_Use_2022
81,Dairy cattle and milk production,112120,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Dairy Cattle,,Methane,Methane,1746336914.424037,0.04530997131503391,28.0,48897433603.87303,48897.43360387303,0.5078402643688061,Direct
82,Dairy cattle and milk production,112120,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Dairy Cattle,,Methane,Methane,1192794538.6863565,0.030947914967732776,28.0,33398247083.217983,33398.24708321798,0.34686840142981856,Direct
83,Dairy cattle and milk production,112120,Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Dairy Cattle,,Nitrous oxide,Nitrous oxide,23394999.109425843,0.0006070001325677402,265.0,6199674763.9978485,6199.6747639978485,0.06438874679304035,Direct
84,Dairy cattle and milk production,112120,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,4412809731.079258,0.11449353253799123,1.0,4412809731.079258,4412.809731079258,0.04583067648489076,Detail_Use_2022
85,Dairy cattle and milk production,112120,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Pasture,All activities Grassland,,Nitrous oxide,Nitrous oxide,10421254.409230832,0.0002703869651089936,265.0,2761632418.4461703,2761.6324184461705,0.028681835305198574,USDA_CoA_Cropland_NAICS
86,Dairy cattle and milk production,112120,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,305976279.34463185,0.007938775344938816,1.0,305976279.34463185,305.97627934463185,0.0031778165670570844,Detail_Use_2022
87,Dairy cattle and milk production,112120,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,1039055.1920023361,2.6959036687310884e-05,265.0,275349625.88061905,275.34962588061904,0.002859733456235822,Detail_Use_2022
88,Dairy cattle and milk production,112120,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,893992.269363106,2.319527448920933e-05,28.0,25031783.542166967,25.031783542166966,0.00025997576221811996,Detail_Use_2022
89,Dairy cattle and milk production,112120,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,20176.226909193923,5.234867653259801e-07,265.0,5346700.13093639,5.34670013093639,5.552990019869668e-05,Detail_Use_2022
90,Dairy cattle and milk production,112120,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,127302.3808720783,3.3029521268247184e-06,28.0,3564466.6644181926,3.5644666644181924,3.70199325358571e-05,Detail_Use_2022
91,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Enteric Fermentation,Beef Cattle,,Methane,Methane,4892801189.37173,0.05556907164614851,28.0,136998433302.40843,136998.43330240843,0.6237196628082975,Direct
92,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Pasture,All activities Grassland,,Nitrous oxide,Nitrous oxide,258095273.28466,0.0029312686491006147,265.0,68395247420.434906,68395.24742043491,0.31138648545416464,USDA_CoA_Cropland_NAICS
