Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Heavy-Duty Vehicles,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Light-Duty Trucks - Households,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Medium- and Heavy-Duty Trucks,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Passenger Cars - Households,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Rail,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,School and Tour Buses,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Ships and Boats,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Domestic Refrigeration,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Residential,Residential Stationary Air Conditioning,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,SF6 and PFCs from Other Product Use,AWACs,,Fluorinated gases (F-Gases),Sulfur hexafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,SF6 and PFCs from Other Product Use,Other Military Applications,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,SF6 and PFCs from Other Product Use,Other Scientific Applications,,Fluorinated gases (F-Gases),Sulfur hexafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,SF6 and PFCs from Other Product Use,Particle Accelerators,,Fluorinated gases (F-Gases),Sulfur hexafluoride
Process & Fugitive Gases,Waste,Waste,Composting,Composting,,Methane,Methane
Process & Fugitive Gases,Waste,Waste,Composting,Composting,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Waste,Waste,Landfills,Landfills,,Methane,Methane
Process & Fugitive Gases,Waste,Waste,Wastewater Treatment,Wastewater Treatment,,Methane,Methane
Process & Fugitive Gases,Waste,Waste,Wastewater Treatment,Wastewater Treatment,,Nitrous oxide,Nitrous oxide
